Estación: ,DARNL,Dr. Arroyo
Variable: ,Evaporación (mm)
Longitud: ,100° 10' 36.5'',Latitud:,23° 40' 34.7''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,2.79,
2022-01-02,1.36,
2022-01-03,1.15,
2022-01-04,1,
2022-01-05,0.82,
2022-01-06,1.02,
2022-01-07,0.85,
2022-01-08,1.43,
2022-01-09,2.16,
2022-01-10,1.1,
2022-01-11,0.4,
2022-01-12,1.06,
2022-01-13,1.37,
2022-01-14,1.14,
2022-01-15,2,
2022-01-16,1.93,
2022-01-17,2.13,
2022-01-18,0.36,
2022-01-19,2.25,
2022-01-20,2.33,
2022-01-21,0.44,
2022-01-22,0.81,
2022-01-23,0.81,
2022-01-24,1.7,
2022-01-25,2.03,
2022-01-26,0.33,
2022-01-27,0.93,
2022-01-28,1.86,
2022-01-29,1.75,
2022-01-30,0.24,
2022-01-31,2.03,
2022-02-01,1.38,
2022-02-02,2.32,
2022-02-03,2.64,
2022-02-04,0.75,
2022-02-05,1.89,
2022-02-06,2.05,
2022-02-07,0.97,
2022-02-08,0.52,
2022-02-09,0.48,
2022-02-10,1.2,
2022-02-11,0.4,
2022-02-12,2.07,
2022-02-13,2.44,
2022-02-14,0.48,
2022-02-15,1.41,
2022-02-16,2.01,
2022-02-17,3.85,
2022-02-18,2.11,
2022-02-19,1.58,
2022-02-20,0.91,
2022-02-21,3.31,
2022-02-22,3.27,
2022-02-23,3.59,
2022-02-24,3.13,
2022-02-25,2.1,
2022-02-26,1.36,
2022-02-27,3.14,
2022-02-28,2.02,
2022-03-01,2.88,
2022-03-02,3.2,
2022-03-03,4.06,
2022-03-04,4.2,
2022-03-05,2.58,
2022-03-06,4.08,
2022-03-07,4.88,
2022-03-08,4.08,
2022-03-09,-,-
2022-03-10,4.07,
2022-03-11,5.27,
2022-03-12,5.27,
2022-03-13,0.79,
2022-03-14,4.02,
2022-03-15,5.08,
2022-03-16,3.41,
2022-03-17,4.02,
2022-03-18,5.32,
2022-03-19,3.01,
2022-03-20,2.06,
2022-03-21,7.6,
2022-03-22,7.08,
2022-03-23,4.98,
2022-03-24,5.31,
2022-03-25,3.56,
2022-03-26,4.01,
2022-03-27,3.8,
2022-03-28,5.71,
2022-03-29,5,
2022-03-30,7.11,
2022-03-31,5.4,
2022-04-01,4.56,
2022-04-02,5.13,
2022-04-03,6.34,
2022-04-04,6.65,
2022-04-05,7.84,
2022-04-06,7.56,
2022-04-07,5.11,
2022-04-08,4.55,
2022-04-09,6.46,
2022-04-10,2.59,
2022-04-11,7.89,
2022-04-12,2.62,
2022-04-13,10.49,
2022-04-14,4.76,
2022-04-15,7.19,
2022-04-16,6.32,
2022-04-17,8.06,
2022-04-18,5.09,
2022-04-19,4.76,
2022-04-20,5.95,
2022-04-21,7.23,
2022-04-22,4.91,
2022-04-23,4.92,
2022-04-24,-,-
2022-04-25,2.55,
2022-04-26,3.59,
2022-04-27,3.5,
2022-04-28,6.12,
2022-04-29,4.41,
2022-04-30,7.81,
2022-05-01,5.18,
2022-05-02,6.85,
2022-05-03,8.32,
2022-05-04,6.16,
2022-05-05,7.75,
2022-05-06,3.3,
2022-05-07,6.05,
2022-05-08,9.63,
2022-05-09,9.55,
2022-05-10,5.12,
2022-05-11,7.44,
2022-05-12,7.4,
2022-05-13,9.32,
2022-05-14,6,
2022-05-15,7.52,
2022-05-16,7.69,
2022-05-17,12.36,
2022-05-18,2.27,
2022-05-19,7.42,
2022-05-20,5.55,
2022-05-21,8.6,
2022-05-22,8.15,
2022-05-23,4.62,
2022-05-24,8.13,
2022-05-25,7.85,
2022-05-26,6.49,
2022-05-27,7.31,
2022-05-28,10.66,
2022-05-29,3.37,
2022-05-30,6.11,
2022-05-31,-,-
2022-06-01,-,-
2022-06-02,-,-
2022-06-03,-,-
2022-06-04,-,-
2022-06-05,-,-
2022-06-06,-,-
2022-06-07,-,-
2022-06-08,-,-
2022-06-09,-,-
2022-06-10,-,-
2022-06-11,-,-
2022-06-12,-,-
2022-06-13,-,-
2022-06-14,-,-
2022-06-15,-,-
2022-06-16,-,-
2022-06-17,-,-
2022-06-18,-,-
2022-06-19,-,-
2022-06-20,-,-
2022-06-21,-,-
2022-06-22,-,-
2022-06-23,-,-
2022-06-24,-,-
2022-06-25,-,-
2022-06-26,-,-
2022-06-27,-,-
2022-06-28,-,-
2022-06-29,-,-
2022-06-30,-,-
2022-07-01,-,-
2022-07-02,-,-
2022-07-03,-,-
2022-07-04,-,-
2022-07-05,-,-
2022-07-06,-,-
2022-07-07,-,-
2022-07-08,-,-
2022-07-09,-,-
2022-07-10,-,-
2022-07-11,-,-
2022-07-12,-,-
2022-07-13,-,-
2022-07-14,-,-
2022-07-15,-,-
2022-07-16,-,-
2022-07-17,-,-
2022-07-18,-,-
2022-07-19,-,-
2022-07-20,-,-
2022-07-21,-,-
2022-07-22,-,-
2022-07-23,-,-
2022-07-24,-,-
2022-07-25,-,-
2022-07-26,-,-
2022-07-27,-,-
2022-07-28,-,-
2022-07-29,-,-
2022-07-30,-,-
2022-07-31,-,-
2022-08-01,-,-
2022-08-02,-,-
2022-08-03,-,-
2022-08-04,-,-
2022-08-05,-,-
2022-08-06,-,-
2022-08-07,-,-
2022-08-08,-,-
2022-08-09,-,-
2022-08-10,-,-
2022-08-11,-,-
2022-08-12,-,-
2022-08-13,-,-
2022-08-14,-,-
2022-08-15,-,-
2022-08-16,-,-
2022-08-17,-,-
2022-08-18,-,-
2022-08-19,-,-
2022-08-20,-,-
2022-08-21,-,-
2022-08-22,-,-
2022-08-23,-,-
2022-08-24,-,-
2022-08-25,-,-
2022-08-26,-,-
2022-08-27,-,-
2022-08-28,-,-
2022-08-29,-,-
2022-08-30,-,-
2022-08-31,-,-
2022-09-01,-,-
2022-09-02,-,-
2022-09-03,-,-
2022-09-04,-,-
2022-09-05,-,-
2022-09-06,-,-
2022-09-07,-,-
2022-09-08,-,-
2022-09-09,-,-
2022-09-10,-,-
2022-09-11,-,-
2022-09-12,-,-
2022-09-13,-,-
2022-09-14,-,-
2022-09-15,-,-
2022-09-16,-,-
2022-09-17,-,-
2022-09-18,-,-
2022-09-19,-,-
2022-09-20,-,-
2022-09-21,-,-
2022-09-22,-,-
2022-09-23,-,-
2022-09-24,-,-
2022-09-25,-,-
2022-09-26,-,-
2022-09-27,-,-
2022-09-28,-,-
2022-09-29,-,-
2022-09-30,-,-
2022-10-01,-,-
2022-10-02,-,-
2022-10-03,-,-
2022-10-04,-,-
2022-10-05,-,-
2022-10-06,-,-
2022-10-07,-,-
2022-10-08,-,-
2022-10-09,-,-
2022-10-10,-,-
2022-10-11,-,-
2022-10-12,-,-
2022-10-13,-,-
2022-10-14,-,-
2022-10-15,-,-
2022-10-16,-,-
2022-10-17,-,-
2022-10-18,-,-
2022-10-19,-,-
2022-10-20,-,-
2022-10-21,-,-
2022-10-22,-,-
2022-10-23,-,-
2022-10-24,-,-
2022-10-25,-,-
2022-10-26,-,-
2022-10-27,-,-
2022-10-28,-,-
2022-10-29,-,-
2022-10-30,-,-
2022-10-31,-,-
2022-11-01,-,-
2022-11-02,-,-
2022-11-03,-,-
2022-11-04,-,-
2022-11-05,-,-
2022-11-06,-,-
2022-11-07,-,-
2022-11-08,-,-
2022-11-09,-,-
2022-11-10,-,-
2022-11-11,-,-
2022-11-12,-,-
2022-11-13,-,-
2022-11-14,-,-
2022-11-15,-,-
2022-11-16,-,-
2022-11-17,-,-
2022-11-18,-,-
2022-11-19,-,-
2022-11-20,-,-
2022-11-21,-,-
2022-11-22,-,-
2022-11-23,-,-
2022-11-24,-,-
2022-11-25,-,-
2022-11-26,-,-
2022-11-27,-,-
2022-11-28,-,-
2022-11-29,-,-
2022-11-30,-,-
2022-12-01,-,-
2022-12-02,-,-
2022-12-03,-,-
2022-12-04,-,-
2022-12-05,-,-
2022-12-06,-,-
2022-12-07,-,-
2022-12-08,-,-
2022-12-09,-,-
2022-12-10,-,-
2022-12-11,-,-
2022-12-12,-,-
2022-12-13,-,-
2022-12-14,-,-
2022-12-15,-,-
2022-12-16,-,-
2022-12-17,-,-
2022-12-18,-,-
2022-12-19,-,-
2022-12-20,-,-
2022-12-21,-,-
2022-12-22,-,-
2022-12-23,-,-
2022-12-24,-,-
2022-12-25,-,-
2022-12-26,-,-
2022-12-27,-,-
2022-12-28,-,-
2022-12-29,-,-
2022-12-30,-,-
2022-12-31,-,-
2023-01-01,-,-
2023-01-02,-,-
2023-01-03,-,-
2023-01-04,-,-
2023-01-05,-,-
2023-01-06,-,-
2023-01-07,-,-
2023-01-08,-,-
2023-01-09,-,-
2023-01-10,-,-
2023-01-11,-,-
2023-01-12,-,-
2023-01-13,-,-
2023-01-14,-,-
2023-01-15,-,-
2023-01-16,-,-
2023-01-17,-,-
2023-01-18,-,-
2023-01-19,-,-
2023-01-20,-,-
2023-01-21,-,-
2023-01-22,-,-
2023-01-23,-,-
2023-01-24,-,-
2023-01-25,-,-
2023-01-26,-,-
2023-01-27,-,-
2023-01-28,-,-
2023-01-29,-,-
2023-01-30,-,-
2023-01-31,-,-
2023-02-01,-,-
2023-02-02,-,-
2023-02-03,-,-
2023-02-04,-,-
2023-02-05,-,-
2023-02-06,-,-
2023-02-07,-,-
2023-02-08,-,-
2023-02-09,-,-
2023-02-10,-,-
2023-02-11,-,-
2023-02-12,-,-
2023-02-13,-,-
2023-02-14,-,-
2023-02-15,-,-
2023-02-16,-,-
2023-02-17,-,-
2023-02-18,-,-
2023-02-19,-,-
2023-02-20,-,-
2023-02-21,-,-
2023-02-22,-,-
2023-02-23,-,-
2023-02-24,-,-
2023-02-25,-,-
2023-02-26,-,-
2023-02-27,-,-
2023-02-28,-,-
2023-03-01,-,-
2023-03-02,-,-
2023-03-03,-,-
