Estación: ,ECSNL,El Cerrito
Variable: ,Evaporación (mm)
Longitud: ,100° 11' 56.2'',Latitud:,25° 31' 08.5''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,4.35,
2022-01-02,4.35,
2022-01-03,2,
2022-01-04,1.45,
2022-01-05,2.55,
2022-01-06,2,
2022-01-07,0.6,
2022-01-08,2.1,
2022-01-09,4.3,
2022-01-10,2,
2022-01-11,1.1,
2022-01-12,1.2,
2022-01-13,2.2,
2022-01-14,3.2,
2022-01-15,1.9,
2022-01-16,4.4,
2022-01-17,4.4,
2022-01-18,3.1,
2022-01-19,-,-
2022-01-20,1.2,
2022-01-21,0.3,
2022-01-22,0.1,
2022-01-23,0.1,
2022-01-24,0.3,
2022-01-25,2,
2022-01-26,0.2,
2022-01-27,0.4,
2022-01-28,1.3,
2022-01-29,2.6,
2022-01-30,2,
2022-01-31,1.3,
2022-02-01,5.3,
2022-02-02,2.4,
2022-02-03,1.2,
2022-02-04,2,
2022-02-05,2,
2022-02-06,1.8,
2022-02-07,1,
2022-02-08,2.5,
2022-02-09,2.5,
2022-02-10,1,
2022-02-11,3,
2022-02-12,4.4,
2022-02-13,1.75,
2022-02-14,1.35,
2022-02-15,4.8,
2022-02-16,4.2,
2022-02-17,3.6,
2022-02-18,1.9,
2022-02-19,6,
2022-02-20,1.3,
2022-02-21,5.3,
2022-02-22,5,
2022-02-23,2,
2022-02-24,2.4,
2022-02-25,0.6,
2022-02-26,0.4,
2022-02-27,3,
2022-02-28,4,
2022-03-01,3,
2022-03-02,3,
2022-03-03,2,
2022-03-04,1.2,
2022-03-05,3.15,
2022-03-06,4.05,
2022-03-07,7.6,
2022-03-08,4.7,
2022-03-09,3.3,
2022-03-10,3,
2022-03-11,6.2,
2022-03-12,4.5,
2022-03-13,3.95,
2022-03-14,6.35,
2022-03-15,5.5,
2022-03-16,5.2,
2022-03-17,7.3,
2022-03-18,5.8,
2022-03-19,4,
2022-03-20,4.75,
2022-03-21,9.65,
2022-03-22,7.3,
2022-03-23,6.4,
2022-03-24,5,
2022-03-25,5.6,
2022-03-26,5.7,
2022-03-27,5.4,
2022-03-28,-,-
2022-03-29,6.2,
2022-03-30,4.6,
2022-03-31,5,
2022-04-01,5,
2022-04-02,4.5,
2022-04-03,4.5,
2022-04-04,5,
2022-04-05,8,
2022-04-06,10,
2022-04-07,8,
2022-04-08,4.2,
2022-04-09,4.45,
2022-04-10,6.35,
2022-04-11,9,
2022-04-12,4,
2022-04-13,0.8,
2022-04-14,12.2,
2022-04-15,4,
2022-04-16,5.45,
2022-04-17,4.55,
2022-04-18,0.85,
2022-04-19,1.15,
2022-04-20,3.9,
2022-04-21,3.4,
2022-04-22,5.95,
2022-04-23,3.05,
2022-04-24,4.7,
2022-04-25,3.9,
2022-04-26,4.5,
2022-04-27,1.6,
2022-04-28,6.3,
2022-04-29,-,-
2022-04-30,-,-
2022-05-01,4,
2022-05-02,6,
2022-05-03,5.5,
2022-05-04,4.7,
2022-05-05,5.7,
2022-05-06,2.7,
2022-05-07,7.9,
2022-05-08,5.15,
2022-05-09,5,
2022-05-10,2,
2022-05-11,6.5,
2022-05-12,6.4,
2022-05-13,7.6,
2022-05-14,6.7,
2022-05-15,10.3,
2022-05-16,8.4,
2022-05-17,7.3,
2022-05-18,7,
2022-05-19,6.3,
2022-05-20,4.8,
2022-05-21,7.4,
2022-05-22,1.2,
2022-05-23,2,
2022-05-24,1.8,
2022-05-25,3.7,
2022-05-26,7.05,
2022-05-27,7.45,
2022-05-28,8.2,
2022-05-29,6.3,
2022-05-30,7.3,
2022-05-31,9,
2022-06-01,-,-
2022-06-02,7.55,
2022-06-03,3.25,
2022-06-04,5.78,
2022-06-05,9.42,
2022-06-06,6,
2022-06-07,7.3,
2022-06-08,7.3,
2022-06-09,6.4,
2022-06-10,6.4,
2022-06-11,9.5,
2022-06-12,7.8,
2022-06-13,6.75,
2022-06-14,7.2,
2022-06-15,7.15,
2022-06-16,11.65,
2022-06-17,7.55,
2022-06-18,10.35,
2022-06-19,4.65,
2022-06-20,8.85,
2022-06-21,9.2,
2022-06-22,6.9,
2022-06-23,9.8,
2022-06-24,11.4,
2022-06-25,8,
2022-06-26,8,
2022-06-27,6,
2022-06-28,-,-
2022-06-29,6,
2022-06-30,9.7,
2022-07-01,6.95,
2022-07-02,2.5,
2022-07-03,5.05,
2022-07-04,7.82,
2022-07-05,6.48,
2022-07-06,8.7,
2022-07-07,7,
2022-07-08,9.55,
2022-07-09,7.2,
2022-07-10,6.75,
2022-07-11,8.3,
2022-07-12,8,
2022-07-13,8.7,
2022-07-14,8.05,
2022-07-15,9.1,
2022-07-16,7.85,
2022-07-17,9.3,
2022-07-18,8.75,
2022-07-19,8.25,
2022-07-20,6,
2022-07-21,9.4,
2022-07-22,9.4,
2022-07-23,7.95,
2022-07-24,9.25,
2022-07-25,7.85,
2022-07-26,5.7,
2022-07-27,8.85,
2022-07-28,6.6,
2022-07-29,8.5,
2022-07-30,6.5,
2022-07-31,11,
2022-08-01,8,
2022-08-02,7.3,
2022-08-03,8.7,
2022-08-04,11.4,
