Estación: ,ECSNL,El Cerrito
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 11' 56.2'',Latitud:,25° 31' 08.5''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,22.5,35,10
2022-01-02,15,19,11
2022-01-03,7.5,17,-2
2022-01-04,11,24,-2
2022-01-05,14.5,31,-2
2022-01-06,16.5,31,2
2022-01-07,10.5,17,4
2022-01-08,16,27,5
2022-01-09,17.5,30,5
2022-01-10,10.5,13,8
2022-01-11,14,18,10
2022-01-12,10,18,2
2022-01-13,15,28,2
2022-01-14,15.5,29,2
2022-01-15,11,20,2
2022-01-16,12.5,27,-2
2022-01-17,12.5,27,-2
2022-01-18,9.5,21,-2
2022-01-19,15,29,1
2022-01-20,10.5,17,4
2022-01-21,9.5,16,3
2022-01-22,6,9,3
2022-01-23,7.5,10,5
2022-01-24,10,13,7
2022-01-25,15,25,5
2022-01-26,9.5,14,5
2022-01-27,14,17,11
2022-01-28,15,17,13
2022-01-29,12.5,17,8
2022-01-30,12.5,23,2
2022-01-31,14.5,27,2
2022-02-01,17,28,6
2022-02-02,17,29,5
2022-02-03,9.5,11,8
2022-02-04,6,11,1
2022-02-05,3,9,-3
2022-02-06,8.5,20,-3
2022-02-07,6,13,-1
2022-02-08,10.5,21,0
2022-02-09,12,24,0
2022-02-10,11.5,22,1
2022-02-11,15.5,26,5
2022-02-12,15.5,25,6
2022-02-13,9.5,18,1
2022-02-14,11,23,-1
2022-02-15,12.5,26,-1
2022-02-16,17,32,2
2022-02-17,18,30,6
2022-02-18,14.5,22,7
2022-02-19,13,23,3
2022-02-20,14.5,27,2
2022-02-21,19,33,5
2022-02-22,23,36,10
2022-02-23,19.5,27,12
2022-02-24,17,25,9
2022-02-25,10.5,12,9
2022-02-26,10,12,8
2022-02-27,13,21,5
2022-02-28,11.5,22,1
2022-03-01,13,25,1
2022-03-02,13,24,2
2022-03-03,15,23,7
2022-03-04,21,27,15
2022-03-05,21,31,11
2022-03-06,23.5,33,14
2022-03-07,20.5,26,15
2022-03-08,15,25,5
2022-03-09,13,22,4
2022-03-10,15.5,27,4
2022-03-11,18.5,33,4
2022-03-12,13,18,8
2022-03-13,11,22,0
2022-03-14,17,31,3
2022-03-15,18.5,32,5
2022-03-16,18.5,32,5
2022-03-17,22,39,5
2022-03-18,19.5,30,9
2022-03-19,17,27,7
2022-03-20,18.5,29,8
2022-03-21,22.5,37,8
2022-03-22,21.5,33,10
2022-03-23,17.5,26,9
2022-03-24,17,30,4
2022-03-25,19,34,4
2022-03-26,18.5,33,4
2022-03-27,19.5,33,6
2022-03-28,23,36,10
2022-03-29,26.5,36,17
2022-03-30,24,35,13
2022-03-31,21.5,33,10
2022-04-01,20,30,10
2022-04-02,21,32,10
2022-04-03,22.5,28,17
2022-04-04,25.5,34,17
2022-04-05,29,40,18
2022-04-06,27.5,41,14
2022-04-07,20,27,13
2022-04-08,17.5,27,8
2022-04-09,19,30,8
2022-04-10,24,39,9
2022-04-11,28.5,41,16
2022-04-12,27,38,16
2022-04-13,28.5,41,16
2022-04-14,22.5,30,15
2022-04-15,26,32,20
2022-04-16,28,37,19
2022-04-17,28.5,38,19
2022-04-18,25,29,21
2022-04-19,24.5,27,22
2022-04-20,25,31,19
2022-04-21,26,33,19
2022-04-22,26,33,19
2022-04-23,26.5,31,22
2022-04-24,26.5,33,20
2022-04-25,23.5,27,20
2022-04-26,23,28,18
2022-04-27,22,26,18
2022-04-28,25,32,18
2022-04-29,-,-,19
2022-04-30,-,35,-
2022-05-01,24,31,17
2022-05-02,28,35,21
2022-05-03,25,30,20
2022-05-04,26.5,33,20
2022-05-05,29.5,36,23
2022-05-06,29.5,35,24
2022-05-07,28.5,39,18
2022-05-08,29.5,40,19
2022-05-09,28,36,20
2022-05-10,27,31,23
2022-05-11,28.5,33,24
2022-05-12,28,36,20
2022-05-13,28,36,20
2022-05-14,28,35,21
2022-05-15,28.5,38,19
2022-05-16,28,38,18
2022-05-17,29.5,37,22
2022-05-18,26.5,35,18
2022-05-19,29.5,39,20
2022-05-20,28.5,38,19
2022-05-21,30.5,41,20
2022-05-22,24,29,19
2022-05-23,23.5,24,23
2022-05-24,23.5,26,21
2022-05-25,23,28,18
2022-05-26,27.5,34,21
2022-05-27,28,36,20
2022-05-28,29,38,20
2022-05-29,27.5,37,18
2022-05-30,28,38,18
2022-05-31,28.5,37,20
2022-06-01,30,35,25
2022-06-02,29,35,23
2022-06-03,25.5,30,21
2022-06-04,27,35,19
2022-06-05,29.5,40,19
2022-06-06,30,41,19
2022-06-07,30,40,20
2022-06-08,29.5,38,21
2022-06-09,30,36,24
2022-06-10,29.5,38,21
2022-06-11,30,39,21
2022-06-12,30,39,21
2022-06-13,29.5,38,21
2022-06-14,29.5,37,22
2022-06-15,29,37,21
2022-06-16,29,37,21
2022-06-17,28.5,37,20
2022-06-18,28,36,20
2022-06-19,28,36,20
2022-06-20,28.5,36,21
2022-06-21,28,36,20
2022-06-22,28,34,22
2022-06-23,27,35,19
2022-06-24,28,37,19
2022-06-25,28.5,37,20
2022-06-26,27.5,36,19
2022-06-27,28.5,35,22
2022-06-28,28,35,21
2022-06-29,26.5,33,20
2022-06-30,26.5,34,19
2022-07-01,28,37,19
2022-07-02,26.5,34,19
2022-07-03,28.5,35,22
2022-07-04,29.5,36,23
2022-07-05,30,37,23
2022-07-06,27.5,35,20
2022-07-07,29,38,20
2022-07-08,29,38,20
2022-07-09,30,39,21
2022-07-10,31,41,21
2022-07-11,31.5,41,22
2022-07-12,31.5,41,22
2022-07-13,30.5,38,23
2022-07-14,29.5,38,21
2022-07-15,28.5,36,21
2022-07-16,29,37,21
2022-07-17,29.5,38,21
2022-07-18,29,38,20
2022-07-19,30,39,21
2022-07-20,31.5,41,22
2022-07-21,30.5,40,21
2022-07-22,30.5,38,23
2022-07-23,30.5,38,23
2022-07-24,30.5,39,22
2022-07-25,30,38,22
2022-07-26,29.5,38,21
2022-07-27,29,37,21
2022-07-28,29.5,38,21
2022-07-29,29,37,21
2022-07-30,29,37,21
2022-07-31,29.5,38,21
2022-08-01,28.5,37,20
2022-08-02,29,38,20
2022-08-03,31,42,20
2022-08-04,29.5,39,20
2022-08-05,29,38,20
2022-08-06,28.5,37,20
2022-08-07,30.5,39,22
2022-08-08,29.5,37,22
2022-08-09,28.5,37,20
2022-08-10,29,38,20
2022-08-11,29.5,39,20
2022-08-12,30.5,37,24
2022-08-13,29,36,22
2022-08-14,27.5,34,21
2022-08-15,28.5,35,22
2022-08-16,27.5,33,22
2022-08-17,29,34,24
2022-08-18,29,37,21
2022-08-19,29,36,22
2022-08-20,28,35,21
2022-08-21,29,38,20
2022-08-22,29.5,37,22
2022-08-23,28.5,35,22
2022-08-24,31,38,24
2022-08-25,29.5,36,23
2022-08-26,27,31,23
2022-08-27,28,34,22
2022-08-28,28.5,35,22
2022-08-29,28.5,35,22
2022-08-30,28,34,22
2022-08-31,28,34,22
2022-09-01,26.5,31,22
2022-09-02,27,32,22
2022-09-03,27,31,23
2022-09-04,25.5,28,23
2022-09-05,24,27,21
2022-09-06,24,27,21
2022-09-07,25.5,30,21
2022-09-08,25,32,18
2022-09-09,25,31,19
2022-09-10,26,32,20
2022-09-11,27.5,35,20
2022-09-12,27,34,20
2022-09-13,25.5,32,19
2022-09-14,25,31,19
2022-09-15,25.5,31,20
2022-09-16,27,32,22
2022-09-17,25.5,32,19
2022-09-18,26,32,20
2022-09-19,26,32,20
2022-09-20,25.5,31,20
2022-09-21,25.5,31,20
2022-09-22,26.5,34,19
2022-09-23,25.5,33,18
2022-09-24,26,33,19
2022-09-25,26,33,19
2022-09-26,23,28,18
2022-09-27,24,31,17
2022-09-28,22.5,27,18
2022-09-29,-,-,16
2022-09-30,-,30,-
2022-10-01,22.5,31,14
2022-10-02,22,30,14
2022-10-03,21.5,26,17
2022-10-04,21.5,26,17
2022-10-05,21.5,25,18
2022-10-06,22,24,20
2022-10-07,20,24,16
2022-10-08,18.5,21,16
2022-10-09,22,27,17
2022-10-10,20,24,16
2022-10-11,20,24,16
2022-10-12,25,34,16
2022-10-13,25.5,35,16
2022-10-14,23.5,31,16
2022-10-15,23.5,30,17
2022-10-16,24.5,31,18
2022-10-17,24.5,29,20
2022-10-18,15.5,17,14
2022-10-19,17.5,22,13
2022-10-20,17.5,27,8
2022-10-21,19,29,9
2022-10-22,20.5,31,10
2022-10-23,19.5,28,11
2022-10-24,24,33,15
2022-10-25,22.5,27,18
2022-10-26,18.5,27,10
2022-10-27,19.5,29,10
2022-10-28,20,30,10
2022-10-29,18,27,9
2022-10-30,17.5,27,8
2022-10-31,16,21,11
2022-11-01,20,25,15
2022-11-02,20,22,18
2022-11-03,23.5,28,19
2022-11-04,26,33,19
2022-11-05,23.5,28,19
2022-11-06,19.5,31,8
2022-11-07,19,29,9
2022-11-08,20.5,29,12
2022-11-09,21,28,14
2022-11-10,24.5,30,19
2022-11-11,25,33,17
2022-11-12,19,23,15
2022-11-13,12.5,20,5
2022-11-14,18,30,6
2022-11-15,14,21,7
2022-11-16,11.5,14,9
2022-11-17,8.5,11,6
2022-11-18,9.5,13,6
2022-11-19,10.5,12,9
2022-11-20,8,9,7
2022-11-21,9,12,6
2022-11-22,11,16,6
2022-11-23,12,18,6
2022-11-24,20,28,12
2022-11-25,15.5,16,15
2022-11-26,17,22,12
2022-11-27,18,31,5
2022-11-28,16.5,28,5
2022-11-29,18.5,31,6
2022-11-30,17,24,10
2022-12-01,12.5,15,10
2022-12-02,18,25,11
2022-12-03,16.5,20,13
2022-12-04,19,22,16
2022-12-05,22.5,28,17
2022-12-06,21,28,14
2022-12-07,18.5,24,13
2022-12-08,20,26,14
2022-12-09,18.5,25,12
2022-12-10,19,26,12
2022-12-11,18.5,24,13
2022-12-12,20,26,14
2022-12-13,20.5,30,11
2022-12-14,16,21,11
2022-12-15,14.5,24,5
2022-12-16,15.5,26,5
2022-12-17,10.5,17,4
2022-12-18,10,12,8
2022-12-19,16,24,8
2022-12-20,9.5,13,6
2022-12-21,9.5,13,6
2022-12-22,17,28,6
2022-12-23,1,3,-1
2022-12-24,3.5,8,-1
2022-12-25,2,9,-5
2022-12-26,8,20,-4
2022-12-27,9.5,21,-2
2022-12-28,14.5,30,-1
2022-12-29,14,27,1
2022-12-30,16,25,7
2022-12-31,17,27,7
2023-01-01,20,33,7
2023-01-02,18.5,30,7
2023-01-03,19,30,8
2023-01-04,16.5,27,6
2023-01-05,18,29,7
2023-01-06,16.5,27,6
2023-01-07,19,30,8
2023-01-08,16,24,8
2023-01-09,20,24,16
2023-01-10,19,30,8
2023-01-11,20,33,7
2023-01-12,17.5,28,7
2023-01-13,12.5,22,3
2023-01-14,12,24,0
2023-01-15,14.5,28,1
2023-01-16,19,35,3
2023-01-17,20,32,8
2023-01-18,19.5,31,8
2023-01-19,16.5,23,10
2023-01-20,19,25,13
2023-01-21,20,28,12
2023-01-22,18.5,24,13
2023-01-23,10.5,15,6
2023-01-24,19,28,10
2023-01-25,13.5,22,5
2023-01-26,8,14,2
2023-01-27,12,15,9
2023-01-28,14.5,24,5
2023-01-29,16.5,29,4
2023-01-30,20,30,10
2023-01-31,10,10,10
2023-02-01,7,9,5
2023-02-02,8,11,5
2023-02-03,10.5,20,1
2023-02-04,11,20,2
2023-02-05,16.5,29,4
2023-02-06,16.5,28,5
2023-02-07,18.5,31,6
2023-02-08,16.5,24,9
2023-02-09,19,25,13
2023-02-10,10.5,10,11
2023-02-11,10,20,0
2023-02-12,11,23,-1
2023-02-13,16,26,6
2023-02-14,18.5,32,5
2023-02-15,23,36,10
2023-02-16,18.5,26,11
2023-02-17,12,15,9
2023-02-18,9.5,19,0
2023-02-19,14,26,2
2023-02-20,16.5,31,2
2023-02-21,20.5,32,9
2023-02-22,24,36,12
2023-02-23,24,36,12
2023-02-24,22,31,13
2023-02-25,22,30,14
2023-02-26,24,30,18
2023-02-27,27,36,18
2023-02-28,25,36,14
2023-03-01,27,40,14
2023-03-02,26,37,15
2023-03-03,-,-,10
