Estación: ,LBCNL,P.La Boca (Cortina)
Variable: ,Evaporación (mm)
Longitud: ,100° 09' 35.46'',Latitud:,25° 27' 20.71''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,2.58,
2022-01-02,2.65,
2022-01-03,1.98,
2022-01-04,1.91,
2022-01-05,2.59,
2022-01-06,3.26,
2022-01-07,1.01,
2022-01-08,1.69,
2022-01-09,2.1,
2022-01-10,1.38,
2022-01-11,1.4,
2022-01-12,1.37,
2022-01-13,1.72,
2022-01-14,2.41,
2022-01-15,1.21,
2022-01-16,1.51,
2022-01-17,1.77,
2022-01-18,2.06,
2022-01-19,3.14,
2022-01-20,1.33,
2022-01-21,0.75,
2022-01-22,1,
2022-01-23,0.61,
2022-01-24,0.89,
2022-01-25,1.57,
2022-01-26,1.35,
2022-01-27,0.98,
2022-01-28,1.01,
2022-01-29,0.59,
2022-01-30,1.1,
2022-01-31,1.53,
2022-02-01,1.91,
2022-02-02,2.3,
2022-02-03,3.1,
2022-02-04,0.98,
2022-02-05,1.12,
2022-02-06,1.86,
2022-02-07,0.91,
2022-02-08,1.16,
2022-02-09,1.03,
2022-02-10,1.84,
2022-02-11,1.2,
2022-02-12,1.86,
2022-02-13,1.11,
2022-02-14,1.95,
2022-02-15,1.57,
2022-02-16,2.84,
2022-02-17,3.01,
2022-02-18,1.56,
2022-02-19,1.75,
2022-02-20,1.9,
2022-02-21,2.13,
2022-02-22,3.29,
2022-02-23,6.65,
2022-02-24,1.39,
2022-02-25,0.37,
2022-02-26,0.72,
2022-02-27,1.01,
2022-02-28,1.57,
2022-03-01,2.41,
2022-03-02,1.81,
2022-03-03,1.81,
2022-03-04,2.97,
2022-03-05,3.21,
2022-03-06,4.81,
2022-03-07,3.41,
2022-03-08,2.8,
2022-03-09,1.89,
2022-03-10,2.91,
2022-03-11,4.39,
2022-03-12,1.81,
2022-03-13,1.8,
2022-03-14,3.19,
2022-03-15,4.11,
2022-03-16,4.7,
2022-03-17,5.4,
2022-03-18,4,
2022-03-19,2.79,
2022-03-20,4.52,
2022-03-21,6.17,
2022-03-22,2.05,
2022-03-23,3.9,
2022-03-24,5.12,
2022-03-25,4.09,
2022-03-26,4.81,
2022-03-27,4.81,
2022-03-28,4.77,
2022-03-29,5.91,
2022-03-30,5.71,
2022-03-31,6.05,
2022-04-01,5.75,
2022-04-02,3,
2022-04-03,3.06,
2022-04-04,5.14,
2022-04-05,5.62,
2022-04-06,8.1,
