Estación: ,LBCNL,P.La Boca (Cortina)
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 09' 35.46'',Latitud:,25° 27' 20.71''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,20.5,29,12
2022-01-02,15.75,18.5,13
2022-01-03,9.5,18,1
2022-01-04,11.5,22,1
2022-01-05,15.75,29.5,2
2022-01-06,16,30,2
2022-01-07,11.5,15,8
2022-01-08,16.5,24.5,8.5
2022-01-09,18.5,28.5,8.5
2022-01-10,11.75,13,10.5
2022-01-11,13.25,16,10.5
2022-01-12,11.5,18.5,4.5
2022-01-13,16.25,26.5,6
2022-01-14,16.75,28,5.5
2022-01-15,13,20,6
2022-01-16,11.5,21.5,1.5
2022-01-17,14,26.5,1.5
2022-01-18,14.5,27.5,1.5
2022-01-19,18.25,33,3.5
2022-01-20,12,17,7
2022-01-21,5,7,3
2022-01-22,5.5,8.5,2.5
2022-01-23,7.25,9.5,5
2022-01-24,10.25,13.5,7
2022-01-25,16.75,24.5,9
2022-01-26,12.5,17,8
2022-01-27,11.75,15,8.5
2022-01-28,13.25,13.5,13
2022-01-29,12,15.5,8.5
2022-01-30,13,22,4
2022-01-31,14.5,25,4
2022-02-01,17.75,27.5,8
2022-02-02,17.75,27.5,8
2022-02-03,11.75,13,10.5
2022-02-04,6.75,12,1.5
2022-02-05,7.25,14.5,0
2022-02-06,8.75,17.5,0
2022-02-07,7.5,13,2
2022-02-08,11.75,20.5,3
2022-02-09,13.25,23.5,3
2022-02-10,12.25,21.5,3
2022-02-11,17.25,26,8.5
2022-02-12,17,25,9
2022-02-13,11.25,19,3.5
2022-02-14,13,23.5,2.5
2022-02-15,13.75,25,2.5
2022-02-16,18,30,6
2022-02-17,20.5,31.5,9.5
2022-02-18,15.5,22,9
2022-02-19,14,22.5,5.5
2022-02-20,15.75,26,5.5
2022-02-21,19.75,32,7.5
2022-02-22,24.75,36.5,13
2022-02-23,20,26,14
2022-02-24,13.5,19,8
2022-02-25,10,11.5,8.5
2022-02-26,8.5,10,7
2022-02-27,12.75,18.5,7
2022-02-28,13.75,23.5,4
2022-03-01,15,26,4
2022-03-02,15.25,25,5.5
2022-03-03,16.25,22.5,10
2022-03-04,21.25,26.5,16
2022-03-05,23.25,32,14.5
2022-03-06,24.75,32.5,17
2022-03-07,22.75,27.5,18
2022-03-08,16.25,24.5,8
2022-03-09,15,23,7
2022-03-10,17,27.5,6.5
2022-03-11,16.75,27,6.5
2022-03-12,14.5,20,9
2022-03-13,13.5,23.5,3.5
2022-03-14,17.25,31,3.5
2022-03-15,21.5,31.5,11.5
2022-03-16,21,34,8
2022-03-17,23.75,39.5,8
2022-03-18,21,30.5,11.5
2022-03-19,19.25,28.5,10
2022-03-20,20,31.5,8.5
2022-03-21,23.75,36,11.5
2022-03-22,24.25,34.5,14
2022-03-23,18.5,27,10
2022-03-24,19.5,32,7
2022-03-25,21.25,36,6.5
2022-03-26,21,35.5,6.5
2022-03-27,22.5,35.5,9.5
2022-03-28,21.5,33.5,9.5
2022-03-29,25,36.5,13.5
2022-03-30,26.5,36.5,16.5
2022-03-31,23.25,32,14.5
2022-04-01,24.25,32.5,16
2022-04-02,25.25,33.5,17
2022-04-03,23.75,27.5,20
2022-04-04,26.5,33,20
2022-04-05,30,39.5,20.5
2022-04-06,30.75,43,18.5
2022-04-07,23.5,29,18
2022-04-08,21.75,32,11.5
2022-04-09,23,34,12
2022-04-10,26,40,12
2022-04-11,30,41.5,18.5
2022-04-12,27.75,37,18.5
2022-04-13,26,33,19
2022-04-14,25,31,19
2022-04-15,29.25,35,23.5
2022-04-16,30.5,38.5,22.5
2022-04-17,30.5,39.5,21.5
2022-04-18,23.75,29,18.5
2022-04-19,24.75,27.5,22
2022-04-20,26.5,31,22
2022-04-21,26,32,20
2022-04-22,27.75,33.5,22
2022-04-23,26.75,31.5,22
2022-04-24,27.25,32,22.5
2022-04-25,26.5,32,21
2022-04-26,21.75,27.5,16
2022-04-27,23,27.5,18.5
2022-04-28,26.5,33,20
2022-04-29,26.5,32.5,20.5
2022-04-30,27.5,35.5,19.5
2022-05-01,25.75,32,19.5
2022-05-02,29.25,36.5,22
2022-05-03,30.75,37.5,24
2022-05-04,28.75,33.5,24
2022-05-05,31.25,37.5,25
2022-05-06,30.25,35.5,25
2022-05-07,31,42,20
2022-05-08,31,42,20
2022-05-09,30.75,37,24.5
2022-05-10,29.25,32,26.5
2022-05-11,30.25,35.5,25
2022-05-12,30.5,38,23
2022-05-13,30.75,38.5,23
2022-05-14,29.75,36,23.5
2022-05-15,31.25,40.5,22
2022-05-16,30.75,41,20.5
2022-05-17,30.75,41.5,20
2022-05-18,28.75,37.5,20
2022-05-19,32.25,41,23.5
2022-05-20,31.75,41,22.5
2022-05-21,33,43.5,22.5
2022-05-22,27.5,29.5,25.5
2022-05-23,24.75,26.5,23
2022-05-24,23.5,25,22
2022-05-25,24.5,28,21
2022-05-26,28.75,36.5,21
2022-05-27,30.5,38.5,22.5
2022-05-28,31,40,22
2022-05-29,30.5,40.5,20.5
2022-05-30,30.75,40.5,21
2022-05-31,31,39,23
2022-06-01,30.75,36.5,25
2022-06-02,29.5,35.5,23.5
2022-06-03,27.5,32.5,22.5
2022-06-04,28.5,36.5,20.5
2022-06-05,30.75,41,20.5
2022-06-06,32.5,43,22
2022-06-07,32.5,42.5,22.5
2022-06-08,32,40,24
2022-06-09,31.75,38.5,25
2022-06-10,32.5,40.5,24.5
2022-06-11,33,41.5,24.5
2022-06-12,32.75,41.5,24
2022-06-13,33,41,25
2022-06-14,32.25,41,23.5
2022-06-15,31.25,39.5,23
2022-06-16,31.75,40,23.5
2022-06-17,31,39,23
2022-06-18,30.25,37,23.5
2022-06-19,30.5,37.5,23.5
2022-06-20,30.25,39,21.5
2022-06-21,29.75,38,21.5
2022-06-22,29.5,36,23
2022-06-23,29.25,37.5,21
2022-06-24,29.5,38,21
2022-06-25,31.5,39,24
2022-06-26,30.5,38,23
2022-06-27,30.25,37,23.5
2022-06-28,30.25,38,22.5
2022-06-29,28,34.5,21.5
2022-06-30,29.25,37,21.5
2022-07-01,29.75,38,21.5
2022-07-02,28.5,35.5,21.5
2022-07-03,31,37.5,24.5
2022-07-04,31,38,24
2022-07-05,31.5,39.5,23.5
2022-07-06,30.75,39,22.5
2022-07-07,31,40,22
2022-07-08,32,39.5,24.5
2022-07-09,32.5,40.5,24.5
2022-07-10,33.25,41.5,25
2022-07-11,33,42,24
2022-07-12,33.25,42.5,24
2022-07-13,33.25,41,25.5
2022-07-14,31.25,39.5,23
2022-07-15,30.5,37.5,23.5
2022-07-16,31,38.5,23.5
2022-07-17,31.5,39,24
2022-07-18,32.5,41,24
2022-07-19,33,41.5,24.5
2022-07-20,33.75,42.5,25
2022-07-21,33.25,41.5,25
2022-07-22,32.5,39.5,25.5
2022-07-23,32.5,40,25
2022-07-24,32.25,41,23.5
2022-07-25,30.5,37.5,23.5
2022-07-26,32.25,41,23.5
2022-07-27,31.75,38.5,25
2022-07-28,31.75,39.5,24
2022-07-29,32,40,24
2022-07-30,31.25,39.5,23
2022-07-31,30.75,38,23.5
2022-08-01,31,38.5,23.5
2022-08-02,32,41.5,22.5
2022-08-03,33,43.5,22.5
2022-08-04,32.5,41.5,23.5
2022-08-05,32.75,40,25.5
2022-08-06,32.25,39,25.5
2022-08-07,31.75,39.5,24
2022-08-08,31.25,38.5,24
2022-08-09,30.5,38.5,22.5
2022-08-10,31.5,40.5,22.5
2022-08-11,33,42.5,23.5
2022-08-12,33,41,25
2022-08-13,29,35,23
2022-08-14,29.5,36,23
2022-08-15,28.5,34,23
2022-08-16,28,33,23
2022-08-17,30.5,36.5,24.5
2022-08-18,31.25,38.5,24
2022-08-19,31.25,38.5,24
2022-08-20,29.75,38,21.5
2022-08-21,30.75,40,21.5
2022-08-22,33,40.5,25.5
2022-08-23,31.5,37,26
2022-08-24,32.25,39,25.5
2022-08-25,32,39,25
2022-08-26,29.25,34,24.5
2022-08-27,30,36.5,23.5
2022-08-28,29.75,37,22.5
2022-08-29,29.25,36,22.5
2022-08-30,28.5,34,23
2022-08-31,26.75,30.5,23
2022-09-01,27.25,31.5,23
2022-09-02,27.75,33.5,22
2022-09-03,27.75,31.5,24
2022-09-04,28,33,23
2022-09-05,23.75,26,21.5
2022-09-06,24.25,27.5,21
2022-09-07,26,30.5,21.5
2022-09-08,26.75,33,20.5
2022-09-09,27.75,35,20.5
2022-09-10,26.75,33,20.5
2022-09-11,28,35,21
2022-09-12,26,30.5,21.5
2022-09-13,26.5,32,21
2022-09-14,26.5,32.5,20.5
2022-09-15,27.25,32,22.5
2022-09-16,26.75,32,21.5
2022-09-17,27.5,33.5,21.5
2022-09-18,27,32.5,21.5
2022-09-19,27,32.5,21.5
2022-09-20,28,34,22
2022-09-21,27.25,33,21.5
2022-09-22,27.75,35,20.5
2022-09-23,27,34,20
2022-09-24,27.25,35,19.5
2022-09-25,27.5,34.5,20.5
2022-09-26,24.5,29,20
2022-09-27,25.5,31.5,19.5
2022-09-28,23.75,28.5,19
2022-09-29,24.25,30.5,18
2022-09-30,24,32.5,15.5
2022-10-01,24.25,33,15.5
2022-10-02,23.75,32,15.5
2022-10-03,23.75,27,20.5
2022-10-04,22.75,24.5,21
2022-10-05,22,24.5,19.5
2022-10-06,22,24,20
2022-10-07,20.75,24.5,17
2022-10-08,19,20.5,17.5
2022-10-09,22.75,28,17.5
2022-10-10,21,24.5,17.5
2022-10-11,22.5,26.5,18.5
2022-10-12,25,31.5,18.5
2022-10-13,25.75,33.5,18
2022-10-14,25,32,18
2022-10-15,25.25,32,18.5
2022-10-16,26.75,32.5,21
2022-10-17,25.25,28.5,22
2022-10-18,15.475,15.45,15.5
2022-10-19,16.75,20.5,13
2022-10-20,18.5,26,11
2022-10-21,19.75,29,10.5
2022-10-22,21.25,30.5,12
2022-10-23,20.75,28,13.5
2022-10-24,24.5,32,17
2022-10-25,23,27.5,18.5
2022-10-26,19.75,27.5,12
2022-10-27,19.75,28,11.5
2022-10-28,21.75,29.5,14
2022-10-29,18.75,27,10.5
2022-10-30,-,-,10.5
2022-10-31,-,20.5,-
2022-11-01,17.25,24,10.5
2022-11-02,20.5,22,19
2022-11-03,23.5,28,19
2022-11-04,25.5,31.5,19.5
2022-11-05,22.75,28.5,17
2022-11-06,19.5,29,10
2022-11-07,20,30,10
2022-11-08,21.5,28,15
2022-11-09,22.5,27,18
2022-11-10,23.25,28.5,18
2022-11-11,23.75,30,17.5
2022-11-12,18.25,21,15.5
2022-11-13,13.75,20.5,7
2022-11-14,17,26.5,7.5
2022-11-15,15.75,22,9.5
2022-11-16,11.5,13.5,9.5
2022-11-17,9,10.5,7.5
2022-11-18,10.25,13,7.5
2022-11-19,10.25,11.5,9
2022-11-20,8.5,9,8
2022-11-21,9,10.5,7.5
2022-11-22,11.75,16,7.5
2022-11-23,13.5,16.5,10.5
2022-11-24,17.5,22,13
2022-11-25,15.75,16.5,15
2022-11-26,15.5,18.5,12.5
2022-11-27,17,26.5,7.5
2022-11-28,17,27,7
2022-11-29,17,26,8
2022-11-30,18.25,25,11.5
2022-12-01,12.75,14,11.5
2022-12-02,15.75,20,11.5
2022-12-03,17.5,21,14
2022-12-04,18.75,20,17.5
2022-12-05,22,25.5,18.5
2022-12-06,21,25.5,16.5
2022-12-07,19.5,23,16
2022-12-08,21.5,26.5,16.5
2022-12-09,19.5,24,15
2022-12-10,20.75,26,15.5
2022-12-11,19.75,24,15.5
2022-12-12,20.25,25,15.5
2022-12-13,20,25,15
2022-12-14,15.75,19.5,12
2022-12-15,15.25,23,7.5
2022-12-16,16,24.5,7.5
2022-12-17,11.5,15.5,7.5
2022-12-18,-,-,8.5
2022-12-19,-,-,-
2022-12-20,-,-,-
2022-12-21,-,-,-
2022-12-22,-,-,-
2022-12-23,-,-,-
2022-12-24,-,-,-
2022-12-25,-,-,-
2022-12-26,-,-,-
2022-12-27,-,-,-
2022-12-28,-,-,-
2022-12-29,-,-,-
2022-12-30,-,-,-
2022-12-31,-,-,-
2023-01-01,-,31.5,-
2023-01-02,21,28.5,13.5
2023-01-03,20.5,29.5,11.5
2023-01-04,18.5,28.5,8.5
2023-01-05,18.5,28.5,8.5
2023-01-06,17.75,27,8.5
2023-01-07,20,28.5,11.5
2023-01-08,17,22.5,11.5
2023-01-09,21,25.5,16.5
2023-01-10,20.5,29.5,11.5
2023-01-11,21,31.5,10.5
2023-01-12,19,27.5,10.5
2023-01-13,13.75,22.5,5
2023-01-14,15,26,4
2023-01-15,15.75,27.5,4
2023-01-16,19.75,33.5,6
2023-01-17,19.5,29.5,9.5
2023-01-18,20.5,30.5,10.5
2023-01-19,18.5,23.5,13.5
2023-01-20,18.5,24,13
2023-01-21,20.25,27,13.5
2023-01-22,20.5,25.5,15.5
2023-01-23,13.25,15.5,11
2023-01-24,18.75,25,12.5
2023-01-25,15.5,22.5,8.5
2023-01-26,9,13,5
2023-01-27,9.25,13.5,5
2023-01-28,14.75,23.5,6
2023-01-29,18.25,30.5,6
2023-01-30,21.25,29.5,13
2023-01-31,9.75,10,9.5
2023-02-01,6.25,7,5.5
2023-02-02,9.5,13,6
2023-02-03,13.25,20.5,6
2023-02-04,13,21,5
2023-02-05,16.75,28.5,5
2023-02-06,18,28.5,7.5
2023-02-07,19.5,30,9
2023-02-08,17.25,23.5,11
2023-02-09,20.25,26,14.5
2023-02-10,15.25,17.5,13
2023-02-11,12,21,3
2023-02-12,13,23.5,2.5
2023-02-13,16.75,25.5,8
2023-02-14,21,34,8
2023-02-15,23.75,34.5,13
2023-02-16,18.75,25.5,12
2023-02-17,14,18.5,9.5
2023-02-18,11.75,19.5,4
2023-02-19,15.75,27.5,4
2023-02-20,18.5,32,5
2023-02-21,22,32,12
2023-02-22,25.5,36.5,14.5
2023-02-23,25.5,36,15
2023-02-24,23.75,32.5,15
2023-02-25,24,31,17
2023-02-26,25.5,30.5,20.5
2023-02-27,26.5,36,17
2023-02-28,26,36.5,15.5
2023-03-01,27,38.5,15.5
2023-03-02,27.5,37,18
2023-03-03,-,-,15
