Estación: ,MDRNL,Madero
Variable: ,Temperatura del Aire (°C)
Longitud: ,99° 11' 48'',Latitud:,26° 01' 20
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,-,-,-
2022-01-02,-,14,-
2022-01-03,8,17,-1
2022-01-04,11.25,23,-0.5
2022-01-05,15.75,28,3.5
2022-01-06,19.25,30,8.5
2022-01-07,12,13.5,10.5
2022-01-08,17.75,24.5,11
2022-01-09,15.5,20,11
2022-01-10,13,13.5,12.5
2022-01-11,14,16.5,11.5
2022-01-12,16.25,20,12.5
2022-01-13,17,26,8
2022-01-14,18,28.5,7.5
2022-01-15,12.5,18,7
2022-01-16,13,22.5,3.5
2022-01-17,12.75,24.5,1
2022-01-18,14.5,28,1
2022-01-19,19.75,31.5,8
2022-01-20,12.5,13,12
2022-01-21,4.75,7,2.5
2022-01-22,4.75,7,2.5
2022-01-23,8,9,7
2022-01-24,8,9,7
2022-01-25,14.75,23,6.5
2022-01-26,13.5,20,7
2022-01-27,12.25,14.5,10
2022-01-28,12.75,13,12.5
2022-01-29,13.5,18,9
2022-01-30,13,20,6
2022-01-31,16.25,26.5,6
2022-02-01,19.5,29,10
2022-02-02,19,28,10
2022-02-03,7.5,7,8
2022-02-04,6.5,10,3
2022-02-05,6,14,-2
2022-02-06,9.75,20.5,-1
2022-02-07,8,15,1
2022-02-08,12,21,3
2022-02-09,13.75,24.5,3
2022-02-10,13,22,4
2022-02-11,16.5,24.5,8.5
2022-02-12,16.75,21.5,12
2022-02-13,10,18,2
2022-02-14,12,22,2
2022-02-15,14.5,27,2
2022-02-16,20.25,32,8.5
2022-02-17,21.5,29,14
2022-02-18,14,20,8
2022-02-19,14.5,21,8
2022-02-20,18.25,28.5,8
2022-02-21,23,32,14
2022-02-22,28.25,38,18.5
2022-02-23,22.25,26,18.5
2022-02-24,10,14,6
2022-02-25,8.25,10,6.5
2022-02-26,7.5,10,5
2022-02-27,10.25,15.5,5
2022-02-28,11.75,21.5,2
2022-03-01,14,25,3
2022-03-02,14.25,24.5,4
2022-03-03,18,27,9
2022-03-04,24,30.5,17.5
2022-03-05,25.75,34,17.5
2022-03-06,26,34.5,17.5
2022-03-07,19.75,18,21.5
2022-03-08,14,17,11
2022-03-09,14.75,20.5,9
2022-03-10,15.25,23.5,7
2022-03-11,19,30,8
2022-03-12,12.5,18,7
2022-03-13,14,24,4
2022-03-14,17.75,31.5,4
2022-03-15,21.25,31,11.5
2022-03-16,20,32,8
2022-03-17,22.5,37,8
2022-03-18,22,28,16
2022-03-19,20,28,12
2022-03-20,20.5,30,11
2022-03-21,25,39,11
2022-03-22,24,30.5,17.5
2022-03-23,18.25,25.5,11
2022-03-24,20,31,9
2022-03-25,21.75,35,8.5
2022-03-26,22.25,35,9.5
2022-03-27,22.75,34.5,11
2022-03-28,24.75,34.5,15
2022-03-29,26,37,15
2022-03-30,28.25,36.5,20
2022-03-31,24.75,35.5,14
2022-04-01,23.25,31.5,15
2022-04-02,26.25,33.5,19
2022-04-03,26.25,32.5,20
2022-04-04,28.5,35.5,21.5
2022-04-05,31.75,38.5,25
2022-04-06,32,42,22
2022-04-07,22.5,30,15
2022-04-08,22,32,12
2022-04-09,23.25,33.5,13
2022-04-10,26.75,39.5,14
2022-04-11,28.5,37,20
2022-04-12,29.5,39,20
2022-04-13,32.5,42,23
2022-04-14,28.5,34,23
2022-04-15,29.5,35,24
2022-04-16,30,38,22
2022-04-17,30.5,39,22
2022-04-18,28,33,23
2022-04-19,28.25,34,22.5
2022-04-20,27.75,32,23.5
2022-04-21,27.5,33,22
2022-04-22,28.75,35.5,22
2022-04-23,29.5,35,24
2022-04-24,31,37.5,24.5
2022-04-25,29,33.5,24.5
2022-04-26,23,26,20
2022-04-27,26,31.5,20.5
2022-04-28,26.5,32,21
2022-04-29,28.5,35,22
2022-04-30,28.5,34,23
2022-05-01,30,36,24
2022-05-02,31.25,38,24.5
2022-05-03,29.75,35,24.5
2022-05-04,29.75,34.5,25
2022-05-05,32,38.5,25.5
2022-05-06,31.75,38,25.5
2022-05-07,32.5,40,25
2022-05-08,32,39,25
2022-05-09,31.75,38.5,25
2022-05-10,30.75,35,26.5
2022-05-11,30.5,35,26
2022-05-12,29.25,35.5,23
2022-05-13,30.5,38,23
2022-05-14,30.75,38,23.5
2022-05-15,-,-,23
2022-05-16,-,-,-
2022-05-17,-,39.5,-
2022-05-18,30.25,38.5,22
2022-05-19,31.25,39,23.5
2022-05-20,34.5,44,25
2022-05-21,33,41,25
2022-05-22,32.25,38.5,26
2022-05-23,27.75,32,23.5
2022-05-24,26.5,32,21
2022-05-25,26.25,31.5,21
2022-05-26,28.25,35.5,21
2022-05-27,30.25,37,23.5
2022-05-28,31.5,38,25
2022-05-29,32,39,25
2022-05-30,32,39,25
2022-05-31,32.25,38,26.5
2022-06-01,32,37.5,26.5
2022-06-02,31.5,38,25
2022-06-03,30.25,37,23.5
2022-06-04,30.5,39,22
2022-06-05,-,-,23
2022-06-06,-,-,-
2022-06-07,-,-,-
2022-06-08,-,-,-
2022-06-09,-,-,-
2022-06-10,-,-,-
2022-06-11,-,-,-
2022-06-12,-,-,-
2022-06-13,-,-,-
2022-06-14,-,-,-
2022-06-15,-,-,-
2022-06-16,-,-,-
2022-06-17,-,-,-
2022-06-18,-,-,-
2022-06-19,-,38,-
2022-06-20,32.25,38.5,26
2022-06-21,31.5,38,25
2022-06-22,30.25,35.5,25
2022-06-23,30.5,38,23
2022-06-24,31,39,23
2022-06-25,31.75,39,24.5
2022-06-26,31.75,38.5,25
2022-06-27,31.75,38.5,25
2022-06-28,31.5,38,25
2022-06-29,31,37.5,24.5
2022-06-30,32,39.5,24.5
2022-07-01,33.75,41.5,26
2022-07-02,32.75,39,26.5
2022-07-03,33,40,26
2022-07-04,33.25,40,26.5
2022-07-05,34.25,41.5,27
2022-07-06,33.5,41,26
2022-07-07,34,42,26
2022-07-08,34.5,42,27
2022-07-09,33.75,42,25.5
2022-07-10,34.25,42,26.5
2022-07-11,34.25,42.5,26
2022-07-12,34,42,26
2022-07-13,33.5,41,26
2022-07-14,31.5,38,25
2022-07-15,32,39,25
2022-07-16,32.5,39,26
2022-07-17,32.75,40.5,25
2022-07-18,33.25,41.5,25
2022-07-19,33.75,42,25.5
2022-07-20,34.25,42.5,26
2022-07-21,34.25,42,26.5
2022-07-22,34,41,27
2022-07-23,33.25,40,26.5
2022-07-24,33.5,40.5,26.5
2022-07-25,33,39.5,26.5
2022-07-26,33.25,40.5,26
2022-07-27,32.5,39,26
2022-07-28,33,40,26
2022-07-29,33,39.5,26.5
2022-07-30,32.5,39,26
2022-07-31,32,38.5,25.5
2022-08-01,31.75,38.5,25
2022-08-02,33,40,26
2022-08-03,34.75,42.5,27
2022-08-04,34,41.5,26.5
2022-08-05,33.75,41,26.5
2022-08-06,32.5,39,26
2022-08-07,32.5,39,26
2022-08-08,32.25,39,25.5
2022-08-09,32,39,25
2022-08-10,33.5,41,26
2022-08-11,33.5,41,26
2022-08-12,32,38,26
2022-08-13,30.75,37,24.5
2022-08-14,29.75,33.5,26
2022-08-15,-,-,24.5
2022-08-16,-,-,-
2022-08-17,-,-,-
2022-08-18,-,-,-
2022-08-19,-,-,-
2022-08-20,-,-,-
2022-08-21,-,-,-
2022-08-22,-,-,-
2022-08-23,-,-,-
2022-08-24,-,-,-
2022-08-25,-,-,-
2022-08-26,-,-,-
2022-08-27,-,-,-
2022-08-28,-,-,-
2022-08-29,-,40,-
2022-08-30,33,39,27
2022-08-31,32.75,38,27.5
2022-09-01,31.5,37,26
2022-09-02,31.25,36.5,26
2022-09-03,26,26.5,25.5
2022-09-04,24.75,25,24.5
2022-09-05,26.25,28,24.5
2022-09-06,24,24,24
2022-09-07,27.75,32,23.5
2022-09-08,28.75,34,23.5
2022-09-09,29.25,34.5,24
2022-09-10,29.25,35,23.5
2022-09-11,28,32,24
2022-09-12,27,31,23
2022-09-13,29.75,36,23.5
2022-09-14,29,35,23
2022-09-15,29,35,23
2022-09-16,29,35.5,22.5
2022-09-17,29,35,23
2022-09-18,29,34.5,23.5
2022-09-19,29.5,36,23
2022-09-20,28.5,33,24
2022-09-21,29.5,36,23
2022-09-22,29.25,35.5,23
2022-09-23,29.75,36,23.5
2022-09-24,30,37,23
2022-09-25,29,36,22
2022-09-26,-,-,22
2022-09-27,-,-,-
2022-09-28,-,-,-
2022-09-29,-,-,-
2022-09-30,-,-,-
2022-10-01,-,-,-
2022-10-02,-,-,-
2022-10-03,-,-,-
2022-10-04,-,-,-
2022-10-05,-,-,-
2022-10-06,-,-,-
2022-10-07,-,-,-
2022-10-08,-,-,-
2022-10-09,-,-,-
2022-10-10,-,-,-
2022-10-11,-,-,-
2022-10-12,-,-,-
2022-10-13,-,-,-
2022-10-14,-,-,-
2022-10-15,-,-,-
2022-10-16,-,-,-
2022-10-17,-,-,-
2022-10-18,-,-,-
2022-10-19,-,-,-
2022-10-20,-,-,-
2022-10-21,-,-,-
2022-10-22,-,-,-
2022-10-23,-,31,-
2022-10-24,28.5,35,22
2022-10-25,24.5,28,21
2022-10-26,21.75,30,13.5
2022-10-27,22.75,32,13.5
2022-10-28,22.5,28,17
2022-10-29,19.75,27,12.5
2022-10-30,20.75,30,11.5
2022-10-31,18.5,22,15
2022-11-01,20.5,22,19
2022-11-02,21.25,23.5,19
2022-11-03,25.25,31.5,19
2022-11-04,28,35,21
2022-11-05,24,28,20
2022-11-06,23.75,34,13.5
2022-11-07,23.25,32.5,14
2022-11-08,25.75,33,18.5
2022-11-09,25,31,19
2022-11-10,25.75,32.5,19
2022-11-11,25.5,32,19
2022-11-12,16,19,13
2022-11-13,14.25,20.5,8
2022-11-14,17.5,27,8
2022-11-15,15.75,19,12.5
2022-11-16,11.5,13,10
2022-11-17,-,-,9
2022-11-18,-,13,-
2022-11-19,8.5,9,8
2022-11-20,-,-,6.5
2022-11-21,-,-,-
2022-11-22,-,-,-
2022-11-23,-,-,-
2022-11-24,-,-,-
2022-11-25,-,-,-
2022-11-26,-,-,-
2022-11-27,-,-,-
2022-11-28,-,-,-
2022-11-29,-,-,-
2022-11-30,-,-,-
2022-12-01,-,-,-
2022-12-02,-,-,-
2022-12-03,-,-,-
2022-12-04,-,-,-
2022-12-05,-,-,-
2022-12-06,-,-,-
2022-12-07,-,-,-
2022-12-08,-,-,-
2022-12-09,-,-,-
2022-12-10,-,-,-
2022-12-11,-,-,-
2022-12-12,-,-,-
2022-12-13,-,-,-
2022-12-14,-,-,-
2022-12-15,-,-,-
2022-12-16,-,-,-
2022-12-17,-,-,-
2022-12-18,-,-,-
2022-12-19,-,-,-
2022-12-20,-,-,-
2022-12-21,-,-,-
2022-12-22,-,-,-
2022-12-23,-,-,-
2022-12-24,-,-,-
2022-12-25,-,-,-
2022-12-26,-,-,-
2022-12-27,-,-,-
2022-12-28,-,-,-
2022-12-29,-,-,-
2022-12-30,-,-,-
2022-12-31,-,-,-
2023-01-01,-,-,-
2023-01-02,-,-,-
2023-01-03,-,-,-
2023-01-04,-,-,-
2023-01-05,-,-,-
2023-01-06,-,-,-
2023-01-07,-,-,-
2023-01-08,-,-,-
2023-01-09,-,-,-
2023-01-10,-,-,-
2023-01-11,-,-,-
2023-01-12,-,-,-
2023-01-13,-,-,-
2023-01-14,-,-,-
2023-01-15,-,-,-
2023-01-16,-,-,-
2023-01-17,-,-,-
2023-01-18,-,-,-
2023-01-19,-,-,-
2023-01-20,-,-,-
2023-01-21,-,-,-
2023-01-22,-,-,-
2023-01-23,-,-,-
2023-01-24,-,-,-
2023-01-25,-,-,-
2023-01-26,-,-,-
2023-01-27,-,-,-
2023-01-28,-,-,-
2023-01-29,-,-,-
2023-01-30,-,-,-
2023-01-31,-,-,-
2023-02-01,-,-,-
2023-02-02,-,-,-
2023-02-03,-,-,-
2023-02-04,-,-,-
2023-02-05,-,-,-
2023-02-06,-,-,-
2023-02-07,-,-,-
2023-02-08,-,-,-
2023-02-09,-,-,-
2023-02-10,-,-,-
2023-02-11,-,-,-
2023-02-12,-,-,-
2023-02-13,-,-,-
2023-02-14,-,-,-
2023-02-15,-,-,-
2023-02-16,-,-,-
2023-02-17,-,-,-
2023-02-18,-,-,-
2023-02-19,-,-,-
2023-02-20,-,-,-
2023-02-21,-,-,-
2023-02-22,-,-,-
2023-02-23,-,-,-
2023-02-24,-,-,-
2023-02-25,-,-,-
2023-02-26,-,-,-
2023-02-27,-,-,-
2023-02-28,-,-,-
2023-03-01,-,-,-
2023-03-02,-,-,-
2023-03-03,-,-,-
