Estación: ,MTMNL,Montemorelos
Variable: ,Evaporación (mm)
Longitud: ,99° 49' 56'',Latitud:,25° 10' 55
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,3.83,
2022-01-02,3.46,
2022-01-03,2.2,
2022-01-04,2,
2022-01-05,2.84,
2022-01-06,2.54,
2022-01-07,1.23,
2022-01-08,1.06,
2022-01-09,3.48,
2022-01-10,2.07,
2022-01-11,1.86,
2022-01-12,1.29,
2022-01-13,2.29,
2022-01-14,3.09,
2022-01-15,4.13,
2022-01-16,2.45,
2022-01-17,2.57,
2022-01-18,3.12,
2022-01-19,3.37,
2022-01-20,2.54,
2022-01-21,0.3,
2022-01-22,0.07,
2022-01-23,0.1,
2022-01-24,0.08,
2022-01-25,1.85,
2022-01-26,0.05,
2022-01-27,0.1,
2022-01-28,1.93,
2022-01-29,2.55,
2022-01-30,2.34,
2022-01-31,2.56,
2022-02-01,2.71,
2022-02-02,2.5,
2022-02-03,1.71,
2022-02-04,1.45,
2022-02-05,2.18,
2022-02-06,2.18,
2022-02-07,1.01,
2022-02-08,2.48,
2022-02-09,2.47,
2022-02-10,1.77,
2022-02-11,3.13,
2022-02-12,4.53,
2022-02-13,2.87,
2022-02-14,3.57,
2022-02-15,4.02,
2022-02-16,4.95,
2022-02-17,4.91,
2022-02-18,3.6,
2022-02-19,3.1,
2022-02-20,3.2,
2022-02-21,4.62,
2022-02-22,5.28,
2022-02-23,2.57,
2022-02-24,0.76,
2022-02-25,0.18,
2022-02-26,0.44,
2022-02-27,1.29,
2022-02-28,3.58,
2022-03-01,2.82,
2022-03-02,2.05,
2022-03-03,1.38,
2022-03-04,6.23,
2022-03-05,4.74,
2022-03-06,4.81,
2022-03-07,5.49,
2022-03-08,3.95,
2022-03-09,3.7,
2022-03-10,8.36,
2022-03-11,7.83,
2022-03-12,3.15,
2022-03-13,4.43,
2022-03-14,4.75,
2022-03-15,6.25,
2022-03-16,6.75,
2022-03-17,6.31,
2022-03-18,6.26,
2022-03-19,5.19,
2022-03-20,6.55,
2022-03-21,7.04,
2022-03-22,7.05,
2022-03-23,5.1,
2022-03-24,5,
2022-03-25,6.91,
2022-03-26,6.98,
2022-03-27,6.36,
2022-03-28,6.57,
2022-03-29,7.6,
2022-03-30,7.77,
2022-03-31,7.1,
2022-04-01,5.1,
2022-04-02,4.02,
2022-04-03,3.04,
2022-04-04,5,
2022-04-05,6.48,
2022-04-06,12.25,
2022-04-07,7.66,
2022-04-08,8.29,
2022-04-09,7,
2022-04-10,9.05,
2022-04-11,7.75,
2022-04-12,6.09,
2022-04-13,8.75,
2022-04-14,4.8,
2022-04-15,4.93,
2022-04-16,6.58,
2022-04-17,6.01,
2022-04-18,2.46,
2022-04-19,4.93,
2022-04-20,2.16,
2022-04-21,6.41,
