Estación: ,MTMNL,Montemorelos
Variable: ,Gasto en Río (m3/s)
Longitud: ,99° 49' 56'',Latitud:,25° 10' 55

Fecha,Valor
1995-01-03,2.484
1995-01-04,2.46
1995-01-05,2.473
1995-01-06,2.457
1995-01-07,2.311
1995-01-08,2.333
1995-01-09,1.116
1995-01-10,1.14
1995-01-11,1.1
1995-01-12,1.126
1995-01-13,1.089
1995-01-14,1.12
1995-01-15,1.098
1995-01-16,1.01
1995-01-17,1.022
1995-01-18,1.002
1995-01-19,1.002
1995-01-20,0.392
1995-01-21,0.401
1995-01-22,0.39
1995-01-23,0.408
1995-01-24,0.417
1995-01-25,0.406
1995-01-26,0.403
1995-01-27,0.406
1995-01-28,0.412
1995-01-29,0.398
1995-01-30,0.408
1995-01-31,0.395
1995-02-01,2.4
1995-02-02,2.147
1995-02-03,2.129
1995-02-04,2.139
1995-02-05,2.118
1995-02-06,2.1
1995-02-07,0.925
1995-02-08,0.903
1995-02-09,0.88
1995-02-10,0.393
1995-02-11,0.402
1995-02-12,0.396
1995-02-13,0.39
1995-02-14,0.344
1995-02-15,0.34
1995-02-16,0.352
1995-02-17,0.339
1995-02-18,0.339
1995-02-19,0.35
1995-02-20,0.351
1995-02-22,0.407
1995-02-23,0.408
1995-02-24,0.411
1995-02-25,0.405
1995-02-26,0.396
1995-02-28,0.416
1995-03-01,2.1
1995-03-02,2.122
1995-03-03,2.145
1995-03-04,2.13
1995-03-05,2.112
1995-03-06,1.989
1995-03-07,0.426
1995-03-08,0.382
1995-03-10,0.364
1995-03-11,0.374
1995-03-12,0.353
1995-03-13,0.371
1995-03-14,0.375
1995-03-15,0.361
1995-03-16,0.185
1995-03-17,0.178
1995-03-18,0.178
1995-03-19,0.198
1995-03-20,0.292
1995-03-21,0.298
1995-03-22,0.273
1995-03-23,0.283
1995-03-24,0.358
1995-03-25,0.349
1995-03-26,0.371
1995-03-27,0.356
1995-03-28,0.35
1995-03-29,0.343
1995-03-30,0.365
1995-03-31,0.352
1995-04-01,2.031
1995-04-02,2.077
1995-04-03,2.051
1995-04-04,2.086
1995-04-05,1.995
1995-04-06,0.37
1995-04-07,0.272
1995-04-08,0.308
1995-04-09,0.289
1995-04-10,0.205
1995-04-11,0.199
1995-04-12,0.306
1995-04-13,0.296
1995-04-14,0.301
1995-04-15,0.311
1995-04-16,0.226
1995-04-17,0.173
1995-04-18,0.178
1995-04-19,0.198
1995-04-20,0.227
1995-04-21,0.18
1995-04-22,0.185
1995-04-23,0.171
1995-04-24,0.187
1995-04-25,0.181
1995-04-26,0.178
1995-04-27,0.176
1995-04-28,0.184
1995-04-29,0.171
1995-04-30,0.179
1995-05-01,1.289
