Estación: ,MTMNL,Montemorelos
Variable: ,Nivel (m)
Longitud: ,99° 49' 56'',Latitud:,25° 10' 55

Fecha,Valor
1995-01-03,1.25
1995-01-04,1.25
1995-01-05,1.25
1995-01-06,1.25
1995-01-07,1.24
1995-01-08,1.24
1995-01-09,1.17
1995-01-10,1.17
1995-01-11,1.17
1995-01-12,1.17
1995-01-13,1.17
1995-01-14,1.17
1995-01-15,1.17
1995-01-16,1.16
1995-01-17,1.16
1995-01-18,1.16
1995-01-19,1.16
1995-01-20,1.1
1995-01-21,1.1
1995-01-22,1.1
1995-01-23,1.1
1995-01-24,1.1
1995-01-25,1.1
1995-01-26,1.1
1995-01-27,1.1
1995-01-28,1.1
1995-01-29,1.1
1995-01-30,1.1
1995-01-31,1.1
1995-02-01,1.25
1995-02-02,1.22
1995-02-03,1.22
1995-02-04,1.22
1995-02-05,1.22
1995-02-06,1.22
1995-02-07,1.16
1995-02-08,1.16
1995-02-09,1.16
1995-02-10,1.1
1995-02-11,1.1
1995-02-12,1.1
1995-02-13,1.1
1995-02-14,1.09
1995-02-15,1.09
1995-02-16,1.09
1995-02-17,1.09
1995-02-18,1.09
1995-02-19,1.09
1995-02-20,1.09
1995-02-21,1.1
1995-02-22,1.1
1995-02-23,1.1
1995-02-24,1.1
1995-02-25,1.1
1995-02-26,1.1
1995-02-27,1.1
1995-02-28,1.1
1995-03-01,1.22
1995-03-02,1.22
1995-03-03,1.22
1995-03-04,1.22
1995-03-05,1.22
1995-03-06,1.21
1995-03-07,1.1
1995-03-08,1.09
1995-03-09,1.09
1995-03-10,1.09
1995-03-11,1.09
1995-03-12,1.09
1995-03-13,1.09
1995-03-14,1.09
1995-03-15,1.09
1995-03-16,1.07
1995-03-17,1.07
1995-03-18,1.07
1995-03-19,1.07
1995-03-20,1.11
1995-03-21,1.11
1995-03-22,1.11
1995-03-23,1.11
1995-03-24,1.12
1995-03-25,1.12
1995-03-26,1.12
1995-03-27,1.12
1995-03-28,1.12
1995-03-29,1.12
1995-03-30,1.12
1995-03-31,1.12
1995-04-01,1.22
1995-04-02,1.22
1995-04-03,1.22
1995-04-04,1.22
1995-04-05,1.22
1995-04-06,1.12
1995-04-07,1.101
1995-04-08,1.1
1995-04-09,1.1
1995-04-10,1.08
1995-04-11,1.07
1995-04-12,1.1
1995-04-13,1.1
1995-04-14,1.1
1995-04-15,1.1
1995-04-16,1.08
1995-04-17,1.07
1995-04-18,1.07
1995-04-19,1.08
1995-04-20,1.08
1995-04-21,1.07
1995-04-22,1.07
1995-04-23,1.07
1995-04-24,1.07
1995-04-25,1.07
1995-04-26,1.07
1995-04-27,1.07
1995-04-28,1.07
1995-04-29,1.07
