Estación: ,PAMNL,La Pamona
Variable: ,Nivel (m)
Longitud: ,99° 13' 22.8'',Latitud:,24° 59' 34.9''

Fecha,Valor
2006-03-30,0
2006-04-01,0
2006-04-02,0
2006-04-11,0
2006-04-12,0
2006-04-15,0
2006-04-21,0
2006-04-22,0
2006-04-23,0
2006-04-25,0
2006-04-26,0
2006-04-28,0
2006-05-01,0
2006-05-02,0
2006-05-03,0
2006-05-04,0
2006-05-06,0
2006-05-08,0
2006-05-09,0
2006-05-10,0
2006-05-11,0
2006-05-12,0
2006-05-14,0
2006-05-15,0
2006-05-16,0.62
2006-05-17,0.58
2006-05-18,0.5
2006-05-19,0.49
2006-05-20,0
2006-05-21,0
2006-05-22,0
2006-05-23,0
2006-05-24,0
2006-05-29,0
2006-05-30,0.64
2006-05-31,0.58
2006-06-01,0.52
2006-06-02,0.52
2006-06-03,0.49
2006-06-04,0.88
2006-06-05,0.63
2006-06-06,0.58
2006-06-07,0.52
2006-06-08,0.49
2006-06-09,0.49
2006-06-10,0.48
2006-06-11,0.48
2006-06-12,0.48
2006-06-13,0.48
2006-06-14,0.48
2006-06-15,0.48
2006-06-16,0.48
2006-06-18,0.48
2006-06-19,0.48
2006-06-20,0.48
2006-06-21,0.48
2006-06-22,0.48
2006-06-23,0.48
2006-06-24,0.48
2006-06-25,0.48
2006-06-26,0.48
2006-06-27,0.48
2006-06-28,0.48
2006-06-29,0.48
2006-06-30,0.48
2006-07-01,0.52
2006-07-02,0.52
2006-07-03,0.49
2006-07-04,0.5
2006-07-05,0.5
2006-07-06,0.5
2006-07-07,0.5
2006-07-08,1.16
2006-07-09,0.64
2006-07-10,0.58
2006-07-11,0.55
2006-07-12,0.51
2006-07-13,0.51
2006-07-14,0.5
2006-07-15,0.5
2006-07-16,0.5
2006-07-17,0.5
2006-07-18,0.5
2006-07-19,0.5
2006-07-20,0.5
2006-07-21,0.5
2006-07-22,0.5
2006-07-23,0.5
2006-07-24,0.5
2006-07-25,0.5
2006-07-26,0.5
2006-07-27,0.5
2006-07-28,0.5
2006-07-29,0.5
2006-07-30,0.5
2006-07-31,0.5
2006-08-01,0.5
2006-08-02,0.5
2006-08-03,0.5
2006-08-04,0.5
2006-08-05,1
2006-08-06,0.58
2006-08-07,0.55
2006-08-08,0.52
2006-08-09,0.51
2006-08-10,0.5
2006-08-11,0.5
2006-08-12,0.5
2006-08-13,0.5
2006-08-14,0.5
2006-08-15,0.5
2006-08-16,0.5
2006-08-17,0.5
2006-08-18,0.5
2006-08-19,0.5
2006-08-21,0.5
2006-08-22,0.5
2006-08-24,0.5
2006-08-25,0.5
2006-08-26,0.5
2006-08-27,0.5
2006-08-28,0.5
2006-08-29,0.5
2006-08-30,0.5
2006-08-31,0.5
2006-09-01,0.5
2006-09-02,0.5
2006-09-03,0
2006-09-04,0.5
2006-09-05,0.5
2006-09-06,0.5
2006-09-07,0.66
2006-09-08,0.59
2006-09-09,1
2006-09-10,2
2006-09-11,0.75
2006-09-12,0.6
2006-09-13,0.99
2006-09-14,1.85
2006-09-16,0.77
2006-09-17,0.75
2006-09-18,0.82
2006-09-19,0.69
2006-09-20,0.66
2006-09-21,0.64
2006-09-22,0.62
2006-09-23,0.6
2006-09-24,0.57
2006-09-25,1.2
2006-09-26,0.75
2006-09-27,0.69
2006-09-28,0.67
2006-09-29,0.8
2006-09-30,0.66
2006-10-01,0.64
2006-10-02,0.63
2006-10-03,0.62
2006-10-04,0.6
2006-10-05,0.59
2006-10-06,0.77
2006-10-07,0.66
2006-10-08,0.64
2006-10-09,0.62
2006-10-10,0.59
2006-10-11,0.58
2006-10-12,0.58
2006-10-13,0.57
2006-10-14,1.89
2006-10-15,0.75
2006-10-16,0.72
2006-10-17,0.64
2006-10-18,0.62
2006-10-19,0.61
2006-10-20,0.6
2006-10-21,0.59
2006-10-22,0.58
2006-10-23,0.57
2006-10-24,0.57
2006-10-25,0.57
2006-10-26,0.56
2006-10-27,0.56
2006-10-28,0.56
2006-10-29,0.56
2006-10-30,0.56
2006-10-31,0.56
2006-11-01,0.55
2006-11-02,0.56
2006-11-03,0.56
2006-11-04,0.56
2006-11-05,0.56
2006-11-06,0.55
2006-11-07,0.55
2006-11-08,0.55
2006-11-09,0.55
2006-11-10,0.55
2006-11-11,0.55
2006-11-12,0.55
2006-11-13,0.55
2006-11-15,0.54
2006-11-16,0.54
2006-11-17,0.54
2006-11-18,0.54
2006-11-19,0.54
2006-11-20,0.54
2006-11-21,0.54
2006-11-22,0.54
2006-11-23,0.53
2006-11-25,0.53
2006-11-26,0.53
2006-11-27,0.53
2006-11-28,0.53
2006-11-29,0.53
2006-11-30,0.53
2006-12-01,0.53
2006-12-02,0.53
2006-12-03,0.52
2007-01-04,0.52
2007-01-05,0.52
2007-01-06,0.52
2007-01-07,0.52
2007-01-08,0.52
2007-01-09,0.52
2007-01-10,0.51
2007-01-11,0.51
2007-01-12,0.51
2007-01-13,0.51
2007-01-14,0.51
2007-01-15,0.51
2007-01-16,0.51
2007-01-17,0.5
2007-01-18,0.5
2007-01-23,0.5
2007-01-25,0.5
2007-01-26,0.5
2007-01-27,0.5
2007-01-28,0.5
2007-01-29,0.5
2007-01-30,0.5
2007-01-31,0.5
2007-02-01,0.5
2007-02-02,0.49
2007-02-03,0.49
2007-02-04,0.49
2007-02-05,0.49
2007-02-06,0.49
2007-02-07,0.49
2007-02-08,0.49
2007-02-09,0.49
2007-02-10,0.49
2007-02-11,0.49
2007-02-12,0.49
2007-02-13,0.49
2007-02-14,0.49
2007-02-15,0.49
2007-02-16,0.49
2007-02-17,0.49
2007-02-18,0.48
2007-02-19,0.48
2007-02-20,0.48
2007-02-21,0.48
2007-02-22,0.48
2007-02-23,0.48
2007-02-24,0.47
2007-02-25,0.47
2007-02-26,0.47
2007-02-27,0.47
2007-02-28,0.47
2007-03-01,0.46
2007-03-02,0.47
2007-03-03,0.46
2007-03-04,0.46
2007-03-05,0.46
2007-03-06,0.46
2007-03-07,0.46
2007-03-08,0.46
2007-03-09,0.46
2007-03-10,0.46
2007-03-11,0.46
2007-03-12,0.46
2007-03-13,0.46
2007-03-14,0.46
2007-03-15,0.46
2007-03-16,0.46
2007-03-17,0.46
2007-03-18,0.46
2007-03-19,0.46
2007-03-20,0.46
2007-03-21,0.46
2007-03-22,0.45
2007-03-23,0.45
2007-03-24,0.45
2007-03-25,0.45
2007-03-26,0.45
2007-03-27,0.45
2007-03-28,0.45
2007-03-29,0.45
2007-03-30,0.45
2007-03-31,0.45
2007-04-01,0.45
2007-04-02,0.45
2007-04-03,0.45
2007-04-04,0.45
2007-04-05,0.46
2007-04-06,0.46
2007-04-07,0.46
2007-04-08,0.46
2007-04-09,0.46
2007-04-10,0.46
2007-04-11,0.46
2007-04-12,0.46
2007-04-13,0.46
2007-04-14,0.46
2007-04-15,0.46
2007-04-17,0.45
2007-04-18,0.45
2007-04-19,0.45
2007-04-20,0.45
2007-04-21,0.45
2007-04-22,0.45
2007-04-23,0.45
2007-04-24,0.45
2007-04-25,0.45
2007-04-26,0.45
2007-04-27,0.45
2007-04-28,0.45
2007-04-29,0.45
2007-04-30,0.45
2007-05-01,0.45
2007-05-02,0.45
2007-05-03,0.45
2007-05-04,0.45
2007-05-05,0.45
2007-05-06,0.45
2007-05-07,0.45
2007-05-08,2
2007-05-09,0.7
2007-05-10,0.56
2007-05-11,0.5
2007-05-12,0.5
2007-05-13,0.48
2007-05-14,0.46
2007-05-15,0.48
2007-05-16,0.47
2007-05-17,0.47
2007-05-18,0.46
2007-05-19,0.46
2007-05-20,0.46
2007-05-21,0.92
2007-05-22,0.56
2007-05-23,0.55
2007-05-24,0.53
2007-05-25,1.03
2007-05-26,2.54
2007-05-27,1.7
2007-05-28,1.6
2007-05-29,0.57
2007-05-30,0.5
2007-05-31,0.5
2007-06-01,0.49
2007-06-02,0.49
2007-06-03,0.48
2007-06-04,0.47
2007-06-05,0.45
2007-06-06,0.45
2007-06-07,0.45
2007-06-08,0.45
2007-06-09,0.45
2007-06-10,0.45
2007-06-11,0.45
2007-06-12,0.45
2007-06-13,0.45
2007-06-14,0.45
2007-06-15,0.44
2007-06-16,0.44
2007-06-17,0.44
2007-06-18,0.44
2007-06-19,0.44
2007-06-20,0.44
2007-06-21,0.8
2007-06-22,1
2007-06-23,0.66
2007-06-24,2.78
2007-06-25,0.68
2007-06-26,0.6
2007-06-27,0.58
2007-06-28,0.57
2007-07-02,0.49
2007-07-03,0.49
2007-07-04,0.5
2007-07-06,0.7
2007-07-07,0.6
2007-07-08,0.56
2007-07-09,0.54
2007-07-10,0.54
2007-07-11,0.53
2007-07-12,0.5
2007-07-13,0.49
2007-07-14,0.48
2007-07-15,0.46
2007-07-16,0.45
2007-07-17,0.45
2007-07-18,1.05
2007-07-19,1.76
2007-07-20,0.81
2007-07-21,0.7
2007-07-22,0.67
2007-07-23,0.66
2007-07-24,0.65
2007-07-26,0.57
2007-07-27,0.56
2007-07-28,0.56
2007-07-29,0.62
2007-07-30,0.6
2007-07-31,0.56
2007-08-01,0.53
2007-08-02,0.55
2007-08-10,0.47
2007-08-12,0.47
2007-08-13,0.47
2007-08-14,0.56
2007-08-15,0.52
2007-08-16,0.51
2007-08-17,0.51
2007-08-18,0.5
2007-08-19,0.48
2007-08-20,0.48
2007-08-21,0.48
2007-08-22,0.8
2007-08-23,1.85
2007-08-24,1.7
2007-08-25,0.66
2007-08-26,0.66
2007-09-12,0.78
2007-09-13,0.66
2007-09-14,0.65
2007-09-15,0.63
2007-09-16,0.83
2007-09-18,0.65
2007-09-19,1
2007-09-20,0.68
2007-09-21,0.64
2007-09-22,0.64
2007-09-23,0.63
2007-09-24,0.62
2007-09-25,0.62
2007-09-26,0.61
2007-09-27,0.6
2007-09-28,0.58
2007-09-29,0.59
2007-09-30,0.58
2007-10-01,0.57
2007-10-02,0.58
2007-10-03,0.64
2007-10-04,0.63
2007-10-05,0.63
2007-10-06,0.6
2007-10-07,0.59
2007-10-08,0.58
2007-10-09,0.57
2007-10-10,0.63
2007-10-11,0.62
2007-10-14,0.6
2007-10-15,0.59
2007-10-16,0.58
2007-10-17,0.57
2007-10-18,0.56
2007-10-19,0.56
2007-10-20,0.56
2007-10-21,0.55
2007-10-22,0.55
2007-10-23,0.55
2007-10-24,0.54
2007-10-25,0.54
2007-10-26,0.53
2007-10-27,0.53
2007-10-28,0.53
2007-10-29,0.52
2007-10-30,0.52
2007-10-31,0.51
2007-11-01,0.51
2007-11-02,0.51
2007-11-03,0.51
2007-11-04,0.51
2007-11-05,0.51
2007-11-06,0.51
2007-11-07,0.51
2007-11-08,0.51
2007-11-09,0.51
2007-11-10,0.51
2007-11-11,0.51
2007-11-12,0.51
2007-11-13,0.5
2007-11-14,0.5
2007-11-15,0.5
2007-11-16,0.5
2007-11-17,0.5
2007-11-18,0.5
2007-11-19,0.5
2007-11-20,0.5
2007-11-21,0.5
2007-11-22,0.5
2007-11-23,0.5
2007-11-24,0.5
2007-11-25,0.5
2007-11-26,0.5
2007-11-27,0.5
2007-11-28,0.5
2007-11-29,0.5
2007-11-30,0.5
2007-12-01,0.5
2007-12-02,0.5
2007-12-03,0.5
2007-12-04,0.5
2007-12-05,0.5
2007-12-06,0.5
2007-12-07,0.5
2007-12-08,0.5
2007-12-09,0.5
2007-12-10,0.5
2007-12-11,0.5
2007-12-12,0.5
2007-12-13,0.5
2007-12-14,0.5
2007-12-15,0.5
2007-12-16,0.5
2008-01-03,0.5
2008-01-04,0.5
2008-01-05,0.5
2008-01-06,0.5
2008-01-07,0.5
2008-01-08,0.5
2008-01-09,0.5
2008-01-10,0.5
2008-01-11,0.5
2008-01-12,0.5
2008-01-13,0.5
2008-01-14,0.5
2008-01-15,0.5
2008-01-16,0.5
2008-01-17,0.5
2008-01-18,0.5
2008-01-19,0.5
2008-01-20,0.5
2008-01-21,0.5
2008-01-22,0.5
2008-01-23,0.5
2008-01-24,0.5
2008-01-25,0.5
2008-01-26,0.5
2008-01-27,0.5
2008-01-28,0.5
2008-01-29,0.5
2008-01-30,0.5
2008-01-31,0.5
2008-02-01,0.5
2008-02-02,0.5
2008-02-03,0.5
2008-02-04,0.5
2008-02-05,0.5
2008-02-06,0.5
2008-02-07,0.5
2008-02-08,0.5
2008-02-09,0.5
2008-02-10,0.5
2008-02-11,0.5
2008-02-12,0.5
2008-02-13,0.5
2008-02-14,0.5
2008-02-15,0.5
2008-02-16,0.5
2008-02-17,0.5
2008-02-18,0.5
2008-02-19,0.5
2008-02-20,0.5
2008-02-21,0.5
2008-02-22,0.5
2008-02-23,0.5
2008-02-25,0.5
2008-02-26,0.5
2008-02-27,0.5
2008-02-28,0.5
2008-02-29,0.5
2008-03-01,0.5
2008-03-02,0.5
2008-03-03,0.5
2008-03-04,0.5
2008-03-05,0.5
2008-03-06,0.5
2008-03-07,0.5
2008-03-08,0.5
2008-03-09,0.5
2008-03-10,0.5
2008-03-11,0.5
2008-03-12,0.5
2008-03-13,0.5
2008-03-14,0.5
2008-03-15,0.5
2008-03-16,0.5
2008-03-17,0.5
2008-03-18,0.5
2008-03-19,0.5
2008-03-20,0.5
2008-03-21,0.5
2008-03-22,0.5
2008-03-23,0.5
2008-03-24,0.5
2008-03-25,0.5
2008-03-26,0.5
2008-03-27,0.5
2008-03-28,0.5
2008-03-29,0.5
2008-03-30,0.5
2008-03-31,0.5
2008-04-01,0.5
2008-04-02,0.5
2008-04-03,0.5
2008-04-04,0.5
2008-04-05,0.5
2008-04-06,0.5
2008-04-07,0.5
2008-04-08,0.5
2008-04-09,0.5
2008-04-10,0.5
2008-04-11,0.5
2008-04-12,0.5
2008-04-13,0.5
2008-04-14,0.5
2008-04-15,0.5
2008-04-16,0.5
2008-04-17,0.5
2008-04-18,0.5
2008-04-19,0.5
2008-04-20,0.5
2008-04-21,0.5
2008-04-22,0.5
2008-04-23,0.5
2008-04-24,0.5
2008-04-25,0.5
2008-04-26,0.5
2008-04-27,0.78
2008-04-28,1.6
2008-04-29,0.69
2008-05-07,0.51
2008-05-08,0.51
2008-05-09,0.5
2008-05-10,0.5
2008-05-11,0.5
2008-05-12,0.5
2008-05-13,0.5
2008-05-14,0.5
2008-05-15,0.5
2008-05-16,0.7
2008-05-17,0.98
2008-05-18,0.67
2008-05-19,0.59
2008-05-20,0.56
2008-05-21,0.56
2008-05-22,0.53
2008-05-23,0.51
2008-05-24,0.51
2008-05-25,0.51
2008-05-26,0.5
2008-05-27,0.5
2008-05-28,0.5
2008-05-29,0.5
