Estación: ,VCRCL,P.V.Carranza
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 37' 01.8'',Latitud:,27° 31' 11
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Promedio,Máximo,Mínimo
2022-01-01,22.25,30.5,14
2022-01-02,9.25,13.5,5
2022-01-03,7.25,16.5,-2
2022-01-04,11,22.5,-0.5
2022-01-05,15.5,27,4
2022-01-06,17,28.5,5.5
2022-01-07,10.85,15.7,6
2022-01-08,14.75,22.5,7
2022-01-09,15.25,24,6.5
2022-01-10,10,13.5,6.5
2022-01-11,11.75,16.5,7
2022-01-12,11.75,19.5,4
2022-01-13,14.75,26.5,3
2022-01-14,16.5,29.5,3.5
2022-01-15,12.25,17.5,7
2022-01-16,12.25,23,1.5
2022-01-17,13.25,25,1.5
2022-01-18,14.5,27,2
2022-01-19,18,30.5,5.5
2022-01-20,7.25,9,5.5
2022-01-21,7.5,13,2
2022-01-22,6.5,10,3
2022-01-23,8,11,5
2022-01-24,12.5,17.5,7.5
2022-01-25,14.5,25,4
2022-01-26,10,15.5,4.5
2022-01-27,9.5,14.5,4.5
2022-01-28,10.5,14,7
2022-01-29,12,18,6
2022-01-30,12,21.5,2.5
2022-01-31,15.25,26.5,4
2022-02-01,17.25,26.5,8
2022-02-02,17,25,9
2022-02-03,4,6,2
2022-02-04,5.5,10.5,0.5
2022-02-05,5.75,14.5,-3
2022-02-06,9,19.5,-1.5
2022-02-07,9.25,17.5,1
2022-02-08,12.75,23.5,2
2022-02-09,13.5,24,3
2022-02-10,13.75,23.5,4
2022-02-11,17.5,28,7
2022-02-12,13.75,19.5,8
2022-02-13,9.75,20,-0.5
2022-02-14,12.75,24,1.5
2022-02-15,14.75,25.5,4
2022-02-16,18,29.5,6.5
2022-02-17,19.75,27.5,12
2022-02-18,12,19,5
2022-02-19,13,20.5,5.5
2022-02-20,17,26,8
2022-02-21,22.75,33.5,12
2022-02-22,26,37,15
2022-02-23,16.5,17,16
2022-02-24,10.5,16,5
2022-02-25,7,10.5,3.5
2022-02-26,9,14,4
2022-02-27,11.5,18,5
2022-02-28,12.25,22,2.5
2022-03-01,14,24.5,3.5
2022-03-02,16.5,25,8
2022-03-03,17.75,25.5,10
2022-03-04,21,29.5,12.5
2022-03-05,24,32,16
2022-03-06,24.5,33,16
2022-03-07,17.75,21.5,14
2022-03-08,15.25,20.5,10
2022-03-09,14.75,22,7.5
2022-03-10,15.5,26,5
2022-03-11,14.5,21.5,7.5
2022-03-12,10.25,16.5,4
2022-03-13,12.75,22,3.5
2022-03-14,18.75,30.5,7
2022-03-15,19.75,28.5,11
2022-03-16,20,31.5,8.5
2022-03-17,21.5,36,7
2022-03-18,18.25,25,11.5
2022-03-19,17.75,27,8.5
2022-03-20,19,28,10
2022-03-21,23.5,34,13
2022-03-22,18.75,25,12.5
2022-03-23,16,23,9
2022-03-24,19,30.5,7.5
2022-03-25,22.5,35.5,9.5
2022-03-26,22.25,35.5,9
2022-03-27,23.25,33.5,13
2022-03-28,23.5,33.5,13.5
2022-03-29,25.25,34.5,16
2022-03-30,24.25,32.5,16
2022-03-31,22.25,32.5,12
2022-04-01,23.75,31.5,16
2022-04-02,24.25,30.5,18
2022-04-03,25.5,32.5,18.5
2022-04-04,26,32.5,19.5
2022-04-05,28.75,37.5,20
2022-04-06,18.5,21,16
2022-04-07,19.25,27,11.5
2022-04-08,20,29.5,10.5
2022-04-09,21.5,32,11
2022-04-10,25.5,37.5,13.5
2022-04-11,27,36,18
2022-04-12,29.25,39.5,19
2022-04-13,29.75,39,20.5
2022-04-14,26.25,32,20.5
2022-04-15,26.5,32.5,20.5
2022-04-16,28.5,37,20
2022-04-17,28.25,35,21.5
2022-04-18,27.25,33,21.5
2022-04-19,25.5,30,21
2022-04-20,26.75,33.5,20
2022-04-21,26.75,33.5,20
2022-04-22,27.25,34.5,20
2022-04-23,28.75,36,21.5
2022-04-24,28.5,36,21
2022-04-25,27,31.5,22.5
2022-04-26,17,19,15
2022-04-27,22.5,28.5,16.5
2022-04-28,24.5,31.5,17.5
2022-04-29,25.5,31.5,19.5
2022-04-30,27.75,34.5,21
2022-05-01,27.25,33,21.5
2022-05-02,29.5,36,23
2022-05-03,29.25,36,22.5
2022-05-04,27.75,33,22.5
2022-05-05,28.5,34.5,22.5
2022-05-06,30.5,38.5,22.5
2022-05-07,32.5,42,23
2022-05-08,33,41.5,24.5
2022-05-09,32.5,40.5,24.5
2022-05-10,30,36,24
2022-05-11,28,34,22
2022-05-12,28.75,36,21.5
2022-05-13,29.25,36,22.5
2022-05-14,29,36.5,21.5
2022-05-15,30.5,39.5,21.5
2022-05-16,31.25,40.5,22
2022-05-17,30.75,40.5,21
2022-05-18,30.5,39,22
2022-05-19,30.5,39,22
2022-05-20,32.5,42,23
2022-05-21,32.1,40.7,23.5
2022-05-22,23.5,26.5,20.5
2022-05-23,23.25,26,20.5
2022-05-24,24.75,32,17.5
2022-05-25,24.75,32,17.5
2022-05-26,27.25,36,18.5
2022-05-27,29.5,35.5,23.5
2022-05-28,30.5,38,23
2022-05-29,30,38,22
2022-05-30,30,37,23
2022-05-31,29.5,36.5,22.5
2022-06-01,30.5,37,24
2022-06-02,30.25,37,23.5
2022-06-03,30,37,23
2022-06-04,29.9,36.8,23
2022-06-05,32.25,42,22.5
2022-06-06,32.75,42,23.5
2022-06-07,32.5,41.5,23.5
2022-06-08,31,38.5,23.5
2022-06-09,30.5,37.5,23.5
2022-06-10,32,39.5,24.5
2022-06-11,32.5,40.5,24.5
2022-06-12,32.75,41,24.5
2022-06-13,32.25,40,24.5
2022-06-14,31.25,38,24.5
2022-06-15,31.5,38.5,24.5
2022-06-16,31.25,38.5,24
2022-06-17,30.25,37.5,23
2022-06-18,30.25,37,23.5
2022-06-19,30.5,37,24
2022-06-20,30.75,37.5,24
2022-06-21,30.75,37.5,24
2022-06-22,30.75,37,24.5
2022-06-23,30.75,38.5,23
2022-06-24,31.5,39,24
2022-06-25,31.5,39,24
2022-06-26,31,37.5,24.5
2022-06-27,30.75,37.5,24
2022-06-28,30.25,37,23.5
2022-06-29,29.5,36.5,22.5
2022-06-30,31.25,39,23.5
2022-07-01,31.75,39,24.5
2022-07-02,32.25,39.5,25
2022-07-03,30,37,23
2022-07-04,31.5,39.5,23.5
2022-07-05,32.5,40,25
2022-07-06,31.75,39,24.5
2022-07-07,32.25,39.5,25
2022-07-08,32.5,39.5,25.5
2022-07-09,32.75,40.5,25
2022-07-10,33.5,41.5,25.5
2022-07-11,34,42,26
2022-07-12,34,41.5,26.5
2022-07-13,33.25,41,25.5
2022-07-14,31.5,38,25
2022-07-15,29.75,37.5,22
2022-07-16,31,38,24
2022-07-17,31.75,39,24.5
2022-07-18,32.25,39.5,25
2022-07-19,33,41,25
2022-07-20,33.5,41.5,25.5
2022-07-21,33,40,26
2022-07-22,32.25,39.5,25
2022-07-23,32.25,39.5,25
2022-07-24,32.25,39.5,25
2022-07-25,31.5,38,25
2022-07-26,32,39,25
2022-07-27,31.5,38,25
2022-07-28,31.75,39,24.5
2022-07-29,32,39.5,24.5
2022-07-30,32.25,39.5,25
2022-07-31,31.25,38,24.5
2022-08-01,31.25,38.5,24
2022-08-02,32.25,40,24.5
2022-08-03,32.75,40.5,25
2022-08-04,32.5,39.5,25.5
2022-08-05,32,39,25
2022-08-06,31.75,38.5,25
2022-08-07,31.25,38,24.5
2022-08-08,31.5,38.5,24.5
2022-08-09,31,38,24
2022-08-10,32,39,25
2022-08-11,32.25,39.5,25
2022-08-12,29.5,34,25
2022-08-13,29.25,35.5,23
2022-08-14,29.75,36,23.5
2022-08-15,26.25,30.5,22
2022-08-16,28,34.5,21.5
2022-08-17,29.75,36,23.5
2022-08-18,30.75,37.5,24
2022-08-19,31,37.5,24.5
2022-08-20,30.75,37,24.5
2022-08-21,31.25,37.5,25
2022-08-22,32.25,39.5,25
2022-08-23,29.5,35,24
2022-08-24,29.5,35,24
2022-08-25,28,33,23
2022-08-26,29,34.5,23.5
2022-08-27,30.25,36.5,24
2022-08-28,30.75,37,24.5
2022-08-29,30.75,37,24.5
2022-08-30,28,31.5,24.5
2022-08-31,26.75,31.5,22
2022-09-01,27.25,32.5,22
2022-09-02,28.75,34,23.5
2022-09-03,27.75,32,23.5
2022-09-04,24.75,28,21.5
2022-09-05,25.5,29.5,21.5
2022-09-06,25.5,29.5,21.5
2022-09-07,27.25,33,21.5
2022-09-08,28.5,35.5,21.5
2022-09-09,29,35.5,22.5
2022-09-10,28.5,35,22
2022-09-11,27.75,34,21.5
2022-09-12,27.75,34.5,21
2022-09-13,28,34.5,21.5
2022-09-14,27.75,34,21.5
2022-09-15,27.25,33,21.5
2022-09-16,27.75,34,21.5
2022-09-17,28,34.5,21.5
2022-09-18,28.5,34.5,22.5
2022-09-19,28.75,34.5,23
2022-09-20,28.75,34.5,23
2022-09-21,28.25,34.5,22
2022-09-22,27.75,34,21.5
2022-09-23,28,34.5,21.5
2022-09-24,27.25,34,20.5
2022-09-25,27.5,34,21
2022-09-26,26.5,33,20
2022-09-27,25.5,32,19
2022-09-28,24.75,31.5,18
2022-09-29,24.75,32,17.5
2022-09-30,24.75,32,17.5
2022-10-01,25.5,33,18
2022-10-02,22,26.5,17.5
2022-10-03,22.5,27,18
2022-10-04,24.5,30.5,18.5
2022-10-05,23.5,28.5,18.5
2022-10-06,24.25,30.5,18
2022-10-07,22.25,26.5,18
2022-10-08,23.5,30,17
2022-10-09,23.75,30.5,17
2022-10-10,23,29,17
2022-10-11,24.75,31.5,18
2022-10-12,25.75,33,18.5
2022-10-13,26.5,34.5,18.5
2022-10-14,24.75,31,18.5
2022-10-15,26,33.5,18.5
2022-10-16,26,33,19
2022-10-17,21.5,24.5,18.5
2022-10-18,14,16.5,11.5
2022-10-19,17.25,24,10.5
2022-10-20,20.5,28,13
2022-10-21,20.75,29,12.5
2022-10-22,21.5,30.5,12.5
2022-10-23,21.5,28.5,14.5
2022-10-24,25.75,34,17.5
2022-10-25,21.25,26.5,16
2022-10-26,19.25,27.5,11
2022-10-27,19.5,28,11
2022-10-28,20.75,27.5,14
2022-10-29,19,25.5,12.5
2022-10-30,19.5,27,12
2022-10-31,16.5,21,12
2022-11-01,18.5,24,13
2022-11-02,20.5,25,16
2022-11-03,22.75,29,16.5
2022-11-04,25.5,32,19
2022-11-05,23,29.5,16.5
2022-11-06,22,30,14
2022-11-07,22.25,31.5,13
2022-11-08,23.75,30.5,17
2022-11-09,24.5,29,20
2022-11-10,24,30,18
2022-11-11,23.5,28.5,18.5
2022-11-12,13.5,18,9
2022-11-13,11.5,18.5,4.5
2022-11-14,15.75,25,6.5
2022-11-15,12.5,18,7
2022-11-16,8.75,12,5.5
2022-11-17,10.5,15,6
2022-11-18,10.5,13,8
2022-11-19,7.5,9,6
2022-11-20,6.5,8,5
2022-11-21,8,11,5
2022-11-22,10,14.5,5.5
2022-11-23,12.75,18,7.5
2022-11-24,16,22,10
2022-11-25,13,14.5,11.5
2022-11-26,14.25,21.5,7
2022-11-27,17.25,27.5,7
2022-11-28,17,26,8
2022-11-29,19.75,30,9.5
2022-11-30,14.25,16.5,12
2022-12-01,12,14,10
2022-12-02,16.5,23,10
2022-12-03,14.25,17.5,11
2022-12-04,15.5,17.5,13.5
2022-12-05,17.25,20.5,14
2022-12-06,18.25,21.5,15
2022-12-07,20.25,24,16.5
2022-12-08,21,25.5,16.5
2022-12-09,19,23.5,14.5
2022-12-10,20.75,25.5,16
2022-12-11,20.5,25.5,15.5
2022-12-12,19.25,23,15.5
2022-12-13,21.25,26,16.5
2022-12-14,16.5,23,10
2022-12-15,13,23,3
2022-12-16,13.5,22,5
2022-12-17,13,21,5
2022-12-18,14,22,6
2022-12-19,11.25,18,4.5
2022-12-20,13.5,20.5,6.5
2022-12-21,9.75,12.5,7
2022-12-22,14.25,21.5,7
2022-12-23,-0.25,3,-3.5
2022-12-24,1.5,6.5,-3.5
2022-12-25,4.25,12.5,-4
2022-12-26,8.75,20.5,-3
2022-12-27,11,21,1
2022-12-28,15.75,27,4.5
2022-12-29,13.5,21.5,5.5
2022-12-30,15.25,22.5,8
2022-12-31,15,24,6
2023-01-01,18,29,7
2023-01-02,18.75,29.5,8
2023-01-03,18,24,12
2023-01-04,17.75,26.5,9
2023-01-05,16.75,26.5,7
2023-01-06,18.25,28.5,8
2023-01-07,16.25,23,9.5
2023-01-08,18,24,12
2023-01-09,17.5,24.5,10.5
2023-01-10,19.75,29.5,10
2023-01-11,21.25,32,10.5
2023-01-12,16.75,22.5,11
2023-01-13,13,20.5,5.5
2023-01-14,12.5,22.5,2.5
2023-01-15,14.25,26,2.5
2023-01-16,18.75,31,6.5
2023-01-17,18,27,9
2023-01-18,18.25,27,9.5
2023-01-19,16.5,23,10
2023-01-20,16.5,22.5,10.5
2023-01-21,16.725,23,10.45
2023-01-22,14,22,6
2023-01-23,11.25,16.5,6
2023-01-24,16.75,23,10.5
2023-01-25,11.25,19.5,3
2023-01-26,9.5,16.5,2.5
2023-01-27,11.5,19,4
2023-01-28,12.5,18,7
2023-01-29,18.75,27.5,10
2023-01-30,12.5,14.5,10.5
2023-01-31,5.5,7,4
2023-02-01,4.5,7.5,1.5
2023-02-02,8.75,16,1.5
2023-02-03,11.5,19,4
2023-02-04,11.75,20.5,3
2023-02-05,15,26,4
2023-02-06,18.5,29,8
2023-02-07,16.75,25.5,8
2023-02-08,17.5,23,12
2023-02-09,16,25.5,6.5
2023-02-10,12,17.5,6.5
2023-02-11,9.5,18,1
2023-02-12,11.5,20.5,2.5
2023-02-13,14.5,22.5,6.5
2023-02-14,20,30.5,9.5
2023-02-15,23.5,35,12
2023-02-16,15.5,19,12
2023-02-17,9.75,15.5,4
2023-02-18,9.75,16.5,3
2023-02-19,14.75,26,3.5
2023-02-20,19.25,29.5,9
2023-02-21,22.25,33.5,11
2023-02-22,24.25,34.5,14
2023-02-23,24,32,16
2023-02-24,26,35,17
2023-02-25,19.8,24,15.6
2023-02-26,23,31.5,14.5
2023-02-27,22.75,30.5,15
2023-02-28,24.25,35,13.5
2023-03-01,26.75,38.5,15
2023-03-02,27.25,35,19.5
2023-03-03,-,-,13
