Estación: ,ZRGNL,Zaragoza
Variable: ,Evaporación (mm)
Longitud: ,99° 46' 46.8'',Latitud:,23° 58' 52.8''
Datos preliminares sujetos a revisión
Datos en Fecha de Ocurrencia

Fecha,Valor,Fuente
2022-01-01,5,
2022-01-02,3.5,
2022-01-03,2.1,
2022-01-04,2.6,
2022-01-05,4.7,
2022-01-06,6.35,
2022-01-07,1.9,
2022-01-08,4.55,
2022-01-09,2,
2022-01-10,0.9,
2022-01-11,1,
2022-01-12,2.1,
2022-01-13,2.5,
2022-01-14,4,
2022-01-15,1,
2022-01-16,5.3,
2022-01-17,6.3,
2022-01-18,6,
2022-01-19,5.2,
2022-01-20,1.6,
2022-01-21,1.3,
2022-01-22,0.9,
2022-01-23,2.9,
2022-01-24,2,
2022-01-25,4.3,
2022-01-26,1.2,
2022-01-27,2.2,
2022-01-28,2.6,
2022-01-29,4,
2022-01-30,2.4,
2022-01-31,4.9,
2022-02-01,3.9,
2022-02-02,6.3,
2022-02-03,1.7,
2022-02-04,1.4,
2022-02-05,1.2,
2022-02-06,3.4,
2022-02-07,0.5,
2022-02-08,1,
2022-02-09,5.9,
2022-02-10,1.9,
2022-02-11,4.4,
2022-02-12,4.3,
2022-02-13,2.5,
2022-02-14,-,-
2022-02-15,4.8,
2022-02-16,-,-
2022-02-17,3.6,
2022-02-18,4.4,
2022-02-19,2.6,
2022-02-20,4.7,
2022-02-21,6.9,
2022-02-22,2,
2022-02-23,8.6,
2022-02-24,5.5,
2022-02-25,2.4,
2022-02-26,4.5,
2022-02-27,3.5,
2022-02-28,4.6,
2022-03-01,4.7,
2022-03-02,2.9,
2022-03-03,3.4,
2022-03-04,-,-
2022-03-05,8.2,
2022-03-06,5.2,
2022-03-07,5.5,
2022-03-08,6.4,
2022-03-09,3.4,
2022-03-10,6.66,
2022-03-11,7.34,
2022-03-12,5.9,
2022-03-13,3.9,
2022-03-14,9.1,
2022-03-15,6.3,
2022-03-16,6,
2022-03-17,7.8,
2022-03-18,7.4,
2022-03-19,5.4,
2022-03-20,4.7,
2022-03-21,12.7,
2022-03-22,6.3,
2022-03-23,7,
2022-03-24,6.9,
2022-03-25,5.9,
2022-03-26,4,
2022-03-27,8.8,
2022-03-28,7.6,
2022-03-29,9.3,
