DATE,MAXT (0.1 C),MINT (0.1 C),AVGT (0.1 C),MINU (%),MAXU (%),MAXP (0.1 hPa),MINP (0.1 hPa),AVGP (0.1 hPa),AVGWS (0.1 m/s)
20150101,204,127,165,24,68,10195,10128,10166,21
20150102,203,117,148,28,83,10191,10148,10172,19
20150103,216,118,155,23,79,10176,10118,10147,17
20150104,232,134,172,48,83,10124,10071,10094,20
20150105,229,181,199,67,84,10085,10050,10065,21
20150106,269,182,207,53,86,10088,10055,10072,13
20150107,203,161,183,52,93,10152,10074,10118,20
20150108,183,116,147,40,60,10199,10152,10175,29
20150109,200,118,150,30,59,10195,10150,10173,17
20150110,212,126,159,33,75,10181,10136,10155,20
20150111,195,123,159,41,81,10176,10121,10149,18
20150112,165,111,127,50,93,10156,10129,10145,32
20150113,134,108,119,76,95,10162,10120,10134,32
20150114,174,86,128,44,89,10166,10128,10148,22
20150115,194,90,132,38,70,10179,10130,10153,25
20150116,219,125,163,36,83,10170,10122,10149,14
20150117,203,137,160,33,67,10185,10147,10162,25
20150118,199,125,154,31,85,10195,10134,10161,21
20150119,207,123,156,24,58,10172,10124,10148,26
20150120,214,126,158,31,79,10153,10108,10133,15
20150121,228,128,172,29,87,10154,10110,10132,10
20150122,231,151,177,21,65,10162,10120,10137,19
20150123,219,129,164,28,65,10147,10105,10127,18
20150124,213,149,173,48,82,10132,10098,10112,25
20150125,243,168,194,59,85,10127,10092,10107,17
20150126,248,165,192,55,86,10128,10086,10108,26
20150127,223,172,188,58,87,10124,10077,10101,23
20150128,194,155,166,59,82,10126,10091,10108,28
20150129,231,141,176,47,81,10135,10101,10116,20
20150130,208,139,163,48,86,10167,10114,10140,21
20150131,169,126,144,57,78,10207,10156,10179,23
20150201,176,127,145,53,73,10214,10167,10187,22
20150202,215,134,162,45,83,10196,10151,10177,15
20150203,225,149,176,53,84,10189,10147,10169,15
20150204,191,142,159,55,90,10179,10136,10159,20
20150205,156,111,126,45,70,10197,10156,10178,33
20150206,155,101,123,50,65,10193,10145,10169,22
20150207,203,135,156,51,77,10159,10117,10140,23
20150208,189,130,153,23,63,10179,10139,10156,28
20150209,189,115,142,31,76,10197,10151,10172,20
20150210,189,114,143,40,79,10176,10109,10144,20
20150211,193,128,153,51,78,10128,10093,10111,10
20150212,228,125,168,17,74,10127,10089,10108,14
20150213,237,136,177,19,58,10126,10090,10104,19
20150214,235,162,188,23,68,10115,10068,10092,20
20150215,197,180,191,68,91,10104,10070,10085,12
20150216,228,172,195,69,95,10113,10073,10091,9
20150217,237,169,191,58,93,10108,10069,10087,15
20150218,216,165,183,55,84,10130,10090,10110,24
20150219,212,171,177,53,74,10145,10108,10120,30
20150220,231,161,187,61,84,10126,10080,10105,25
20150221,254,182,210,65,89,10094,10059,10076,17
20150222,256,192,212,65,92,10104,10057,10080,15
20150223,231,186,197,74,94,10099,10050,10075,22
20150224,250,189,207,67,92,10087,10043,10067,24
20150225,229,195,207,77,94,10083,10044,10061,21
20150226,284,198,227,53,92,10087,10045,10062,17
20150227,225,187,198,78,90,10103,10058,10076,25
20150228,232,183,198,65,88,10113,10071,10091,31
20150301,209,154,186,49,88,10153,10092,10120,19
20150302,194,166,174,53,82,10133,10051,10090,22
20150303,249,167,201,69,90,10068,10021,10047,20
20150304,222,145,164,80,93,10098,10034,10073,23
20150305,188,159,170,78,91,10106,10066,10081,36
20150306,183,163,171,83,92,10112,10077,10093,22
20150307,186,146,167,78,90,10127,10085,10101,20
20150308,220,171,192,67,88,10120,10083,10100,22
20150309,264,178,216,58,92,10121,10092,10108,11
20150310,226,166,181,43,82,10159,10116,10142,25
20150311,176,152,160,69,82,10162,10121,10141,22
20150312,158,132,144,81,93,10157,10109,10132,21
20150313,202,146,174,66,90,10131,10092,10111,23
20150314,212,180,197,72,86,10131,10088,10106,20
20150315,246,202,217,73,91,10105,10065,10086,17
